ticker,ticker_fullwidth,company_name,variants
18200,１８２００,西松建設,西松建設 / 西松 / NIPPO / NIPPOコーポレーション / 西松グループ / 西松建設株式会社 / 西松建設グループ / 西松建設工業 / 西松建設プロジェクト
18210,１８２１０,三井住友建設,三井住友建設 / 三住建 / SMCC / Mitsui Sumitomo Construction / 三井住友 / 住友建設 / 三住 / Mitsui Construction / Sumitomo Construction
18220,１８２２０,大豊建設,大豊建設 / 大豊 / 大豊建 / 大豊建設株式会社 / DAIHO CORPORATION / DAIHO建設 / 大豊ブランド / 大豊プロジェクト
18330,１８３３０,奥村組,奥村組 / 1833 / 奥村 / OKUMURA / オクムラ / 奥村建設 / 奥村グループ / 奥村土木 / 奥村技術 / 奥村プロジェクト
18350,１８３５０,東鉄工業,東鉄工業 / TTK / 東鉄工 / 東鉄工業株式会社 / 東鉄グループ / 東鉄製品 / 東鉄ブランド / 東鉄工業製品 / 東鉄
18520,１８５２０,淺沼組,淺沼組 / 淺沼 / Asanuma / 淺沼建設 / 淺沼工務店 / 淺沼グループ / 淺沼プロジェクト / 淺沼デザイン / 淺沼技術
18600,１８６００,戸田建設,戸田建設 / 戸田 / TODA / 戸田建 / 戸田グループ / TODA Corporation / 戸田建設株式会社 / TODA建設 / TODAグループ
18610,１８６１０,熊谷組,熊谷組 / 熊谷 / KUMAGAI / 熊谷建設 / 熊谷グループ / KUMAGAI GUMI / 熊谷組株式会社 / 熊谷組建設 / KUMAGAI CONSTRUCTION
18700,１８７００,矢作建設工業,矢作建設工業 / 矢作 / 矢作建設 / YKK / 矢作工業 / 矢作ブランド / 矢作製品 / 矢作プロジェクト / 矢作グループ
18710,１８７１０,ピーエス・コンストラクション,
18730,１８７３０,日本ハウスホールディングス,日本ハウスホールディングス / 日本ハウス / 日本ハウスHD / JHHD / 日本ハウスグループ / 日本ハウスホールディングス株式会社 / 日本ハウスブランド / 日本ハウスの家 / 日本ハウスの住宅
18780,１８７８０,大東建託,大東建託 / DK SELECT / いい部屋ネット / 大東 / Daito / Daito Trust / Daito Kentaku / いい部屋 / DKマンション
18790,１８７９０,新日本建設,新日本
18820,１８８２０,東亜道路工業,東亜道路工業 / 東亜道路 / TOA / TOA ROAD / トアロード / トア / トア工業 / トア道路 / トアブランド
18840,１８８４０,日本道路,
18850,１８８５０,東亜建設工業,東亜建設工業 / 東亜建設 / 東亜コンストラクション / 東亜建 / 東亜工業 / 東亜建設工業株式会社 / 東亜建設工
18870,１８８７０,日本国土開発,日本国土開発 / 日国 / 日本国土 / 国土開発 / JDC / ジャパンデベロップメント / 国土 / 日本国土開発株式会社
18880,１８８８０,若築建設,若築
18900,１８９００,東洋建設,東洋建設 / TOYO / 東洋コンストラクション / TOYO Construction / 東洋建 / 東洋建設株式会社 / 東洋建設グループ / 東洋
18930,１８９３０,五洋建設,五洋建設 / 五洋 / Penta-Ocean / 五洋コンストラクション / 五洋建 / POC / 五洋マリン / 五洋技術 / 五洋プロジェクト
18980,１８９８０,世紀東急工業,"世紀東急 / 東急工業 / STK / 世紀 / 工業 / 世紀東急建設 / 東急建設

具体的な製品名やブランド名については、企業の公式"
18990,１８９９０,福田組,
19110,１９１１０,住友林業,住友林業 / 住林 / Sumirin / フォレストワン / フォレストメゾン / フォレストガーデン / フォレストヒルズ / フォレストヴィラ / フォレストウッド
19250,１９２５０,大和ハウス工業,大和ハウス工業 / 大和ハウス / ダイワハウス / DAIWA HOUSE / Dハウス / DAIWA LIVING / D's SMART / xevo
19260,１９２６０,ライト工業,ライト工業 / LITE / ライトグループ / ライトテクノロジー / ライトソリューション / ライトエンジニアリング / ライトコンストラクション / ライトインフラ / ライト
19280,１９２８０,積水ハウス,積水ハウス / セキスイハウス / シャーメゾン / グリーンファースト / ビエナ / セキスイツーユーホーム / セキスイイズム / セキスイシャーメゾン
19290,１９２９０,日特建設,日特建設 / 日特 / NITTOC / NITTOC建設 / 日特工法 / NITTOCブランド / 日特ソリューション / 日特技術 / 日特プロジェクト
19300,１９３００,北陸電気工事,北陸電気工事 / 北電工 / HEC / 北陸電工 / Hokudenko / 北陸電気 / 北陸電工事 / 北陸電気工事株式会社 / 北陸電気工事(株)
19340,１９３４０,ユアテック,ユアテック / ユアテック株式会社 / YURATEC / ユアテックグループ / ユアテック電設 / ユアテックエンジニアリング / ユアテックソリューション / ユアテックサービス / ユアテックプロジェクト
19380,１９３８０,日本リーテック,
19390,１９３９０,四電工,四電工 / 四国電力工事 / 四国電工 / 四国電力工事株式会社 / 四国電工株式会社 / 四電工グループ / 四電工ネットワーク / 四電工サービス
19410,１９４１０,中電工,中電工 / 中電工グループ / 中電工ネットワーク / 中電工サービス / 中電工エンジニアリング / 中電工ソリューション / 中電工プロジェクト
19420,１９４２０,関電工,関電工 / KANDENKO / 関電工株式会社 / KANDENKO Co. / Ltd. / 電気工事 / 通信工事 / 空調設備 / 照明設備
19440,１９４４０,きんでん,きんでん / Kinden / KND / Kinden Corporation / 近電 / 近畿電気工事 / Kinden Group / Kinden Electric / Kinden Holdings
19450,１９４５０,東京エネシス,
19460,１９４６０,トーエネック,トーエネック / TOENEC / トーエネック株式会社 / トーエネックグループ / トーエネック電設 / トーエネックエンジニアリング / トーエネックソリューション / トーエネックサービス / トーエネックプロジェクト
19490,１９４９０,住友電設,住友電設 / 住電設 / Sumitomo Densetsu / 住友電工 / Sumiden / 住友電設株式会社
19500,１９５００,日本電設工業,日本電設工業 / 日電工 / 日本電設 / 電設工 / 日本電設工業株式会社 / 日電設 / 日本電設工業株
19510,１９５１０,エクシオグループ,エクシオ / エクシオG
19520,１９５２０,新日本空調,新日本空調 / 新日空 / SNA / エアテック / クリーンエアシステム / 空調ソリューション / HVACソリューション / 環境技術 / 空調設備
19590,１９５９０,九電工,九電工 / 九電工グループ / 九電工エンジニアリング / 九電工サービス / 九電工ソリューション / 九電工テクノロジー / 九電工プロジェクト
19610,１９６１０,三機工業,三機工業 / 三機 / Sanki / 三機空調 / 三機設備 / 三機エンジニアリング / 三機システム / 三機テクノロジー / 三機ソリューション
19630,１９６３０,日揮ホールディングス,日揮ホールディングス / 日揮 / JGC / JGCホールディングス / JGCグループ / 日揮グループ / 日揮エンジニアリング / JGCエンジニアリング / 日揮プロジェクト / 日揮HD
19640,１９６４０,中外炉工業,中外炉工業 / 中外炉 / チュウガイロ / 中外炉エンジニアリング / 中外炉技術 / 中外炉製品 / 中外炉ブランド / 中外炉ソリューション / 中外炉サービス
19680,１９６８０,太平電業,
19690,１９６９０,高砂熱学工業,高砂熱学工業 / 高砂熱学 / TAKASAGO / 高砂エンジニアリング / 高砂技術 / 高砂製品 / 高砂ブランド / 高砂システム
19730,１９７３０,ＮＥＣネッツエスアイ,ＮＥＣネッツエスアイ / ネッツエスアイ / NEC Nets SI / NECネッツ / ネッツSI / NEC NSI / NECネットワーク / ネットワークソリューション / NECコミュニケーション
19750,１９７５０,朝日工業社,
19760,１９７６０,明星工業,明星
19790,１９７９０,大氣社,大氣社 / ダイキ / 空調設備 / クリーンルーム / HVAC / エアコン / 産業設備
19800,１９８００,ダイダン,ダイダン / ダイダン株式会社 / Daidan / ダイダン工業 / ダイダン設備 / ダイダンテクノロジー / ダイダンエンジニアリング / ダイダンソリューション / ダイダンプロジェクト
19820,１９８２０,日比谷総合設備,日比谷総合設備 / 日比谷設備 / Hibiya Engineering / Hibiya / Hibiya SE / 日比谷 / Hibiya総合 / Hibiya設備 / Hibiyaエンジニアリング
20010,２００１０,ニップン,ニップン / 日本製粉 / オーマイ / REGALO / アマニ / ニップンアマニ / ニップンウェルナ / ニップンフーズ / ニップンプレミアム
20020,２００２０,日清製粉グループ本社,日清製粉グループ本社 / 日清製粉 / 日清フーズ / マ・マー / オーマイ / 日清ファルマ / 日清製粉ウェルナ / 日清ペットフード / 日清製粉プレミックス
20030,２００３０,日東富士製粉,日東富士製粉 / 日東富士 / ニットーフーズ / ニットーミックス / ニットー / 富士製粉 / ニットー製粉 / 日東製粉 / ニットー富士
20040,２００４０,昭和産業,昭和産業 / SHOWA / 昭和天ぷら粉 / 昭和の小麦粉 / 昭和の油 / 昭和のパスタ / 昭和のパン粉 / 昭和のホットケーキミックス / 昭和の調味料 / 昭和
20530,２０５３０,中部飼料,中部飼料 / 中飼 / フィードワングループ / フィードワンホールディングス / フィードワンペット / フィードワンアクア / フィードワンバイオ
20600,２０６００,フィード・ワン,フィード・ワン / フィード・ワンホールディングス / アニマルフィード / アクアフィード / ペットフード / 飼料 / フィードワンフーズ
21080,２１０８０,日本甜菜製糖,日本甜菜製糖 / ビート糖 / スズラン印 / 北海道ビート / てんさい糖 / スズランブランド / ビートシュガー / 甜菜糖 / 北海道産糖
21090,２１０９０,ＤＭ三井製糖ホールディングス,ＤＭ三井製糖ホールディングス / 三井製糖 / スプーン印 / パールエース / 角砂糖 / グラニュー糖 / 三井糖 / 三井砂糖 / みついさとう / ＤＭ三井製糖 / ＤＭ三井製糖HD
21170,２１１７０,ウェルネオシュガー,ウェルネオシュガー / ウェルシュガー / ネオシュガー / ウェルネオ / ウェルシュ / ネオシュ / ウェルネ / ウェル / ネオ
21200,２１２００,ＬＩＦＵＬＬ,LIFULL / ライフル / HOME'S / LIFULL介護 / LIFULL引越し / LIFULL不動産 / LIFULL住まい / LIFULLインテリア
21210,２１２１０,ＭＩＸＩ,ミクシィ / mixi / モンスト / モンスターストライク / XFLAG / FamilyAlbum / モンパス / モンストスタジアム / モンストグランプリ
21240,２１２４０,ジェイエイシーリクルートメント,ジェイエイシーリクルートメント / JACリクルートメント / JAC / JAC Recruitment / ジェイエイシー / JACジャパン / JACグループ / ジェイエイシー・ジャパン / JAC International
21270,２１２７０,日本Ｍ＆Ａセンターホールディングス,日本M&Aセンターホールディングス / M&Aセンター / 日本M&A / JMAC / M&Aホールディングス / 日本M&Aセンターホールディングス株式会社 / M&Aセンターホールディングス / 日本M&Aセンター / M&AセンターHD / 日本Ｍ＆Ａセンター / 日本Ｍ＆ＡセンターHD
21300,２１３００,メンバーズ,
21460,２１４６０,ＵＴグループ,UTグループ / UTホールディングス / UTエンジニアリング / UTテクノロジー / UTコンストラクション / UTファクトリー / UTパートナーズ / UTキャリア / 証券コード21460 / ＵＴ / ＵＴG
21480,２１４８０,アイティメディア,アイティメディア / ITmedia / アイティメディア株式会社 / ITmedia News / ITmedia Mobile / ITmedia ビジネスオンライン / ITmedia エンタープライズ / ITmedia マーケティング / ねとらぼ
21500,２１５００,ケアネット,ケアネット / ケアネット株式会社 / CareNet / CareNet.com / ケアネットニュース / ケアネットマガジン / ケアネットTV / ケアネットセミナー / ケアネットアカデミー
21530,２１５３０,Ｅ・Ｊホールディングス,Ｅ・Ｊ / Ｅ・ＪHD
21540,２１５４０,オープンアップグループ,オープンアップ / オープンアップG
21570,２１５７０,コシダカホールディングス,コシダカホールディングス / カラオケまねきねこ / まねきねこ / ひとりカラオケ専門店ワンカラ / ワンカラ / コシダカ / コシダカHD / コシダカグループ / まねきねこアプリ
21680,２１６８０,パソナグループ,パソナ / パソナグループ / Pasona / Pasona Group / パソナキャリア / パソナテック / パソナフォーチュン / パソナHRソリューション / パソナアーバンファーム / パソナG
21700,２１７００,リンクアンドモチベーション,リンクアンドモチベーション / LMI / Link and Motivation / モチベーションクラウド / エンゲージメントサーベイ / モチベーションカンパニー / リンクアンドカンパニー / モチベーションアカデミー / リンクアンドリーダーシップ
21750,２１７５０,エス・エム・エス,エス・エム・エス / SMS / カイポケ / 介護のほんね / 看護のお仕事 / ナース専科 / イーキャリアFA / 介護求人ナビ / 介護ワーカー
21810,２１８１０,パーソルホールディングス,パーソル / PERSOL / パーソルHD / パーソルホールディングス / テンプスタッフ / doda / ミイダス / パーソルキャリア / パーソルプロセス&テクノロジー
21930,２１９３０,クックパッド,クックパッド / クック / クックパッド株式会社 / Cookpad / クックパッドレシピ / クックパッドアプリ / クックパッドマート / クックパッドストア / クックパッドダイエット
22010,２２０１０,森永製菓,森永製菓 / チョコボール / ミルクキャラメル / ハイチュウ / ダース / 森永ビスケット / 森永ホットケーキミックス
22040,２２０４０,中村屋,中村屋 / 中村屋カレー / 月餅 / あんまん / 肉まん / 中村屋レトルト / 中村屋スパイス / 中村屋パン / 中村屋スイーツ
22060,２２０６０,江崎グリコ,江崎グリコ / グリコ / ポッキー / プリッツ / アーモンドチョコレート / カプリコ / ビスコ / パピコ / ジャイアントコーン
22070,２２０７０,名糖産業,名糖産業 / 名糖 / メイトー / スティックカフェオレ / スティックコーヒー / 名糖プリン / 名糖チョコレート / 名糖ミルク / 名糖アイスクリーム
22090,２２０９０,井村屋グループ,井村屋グループ / 井村屋 / あずきバー / やわもちアイス / クリームチーズデザート / 井村屋の肉まん / 井村屋のあんまん / 井村屋の中華まん / 井村屋のたい焼き / 井村屋G
22110,２２１１０,不二家,不二家 / ペコちゃん / ミルキー / カントリーマアム / ルックチョコレート / ホームパイ / ポップキャンディ / ネクター / 不二家レストラン
22120,２２１２０,山崎製パン,山崎製パン / ヤマザキ / 山パン / ランチパック / ダブルソフト / ロイヤルブレッド / 超芳醇 / ゴールドシリーズ / まるごとソーセージ
22170,２２１７０,モロゾフ,モロゾフ / モロゾフチョコレート / モロゾフプリン / モロゾフケーキ / モロゾフスイーツ / モロゾフギフト / モロゾフデザート / モロゾフカフェ / モロゾフブランド
22200,２２２００,亀田製菓,亀田製菓 / 亀田 / 亀田の柿の種 / ハッピーターン / ぽたぽた焼 / 亀田のあられ / サラダホープ / 亀田のまがりせんべい / 亀田の海苔ピーパック
22220,２２２２０,寿スピリッツ,寿スピリッツ / 寿製菓 / 砂糖の国のケーキ屋さん / 夢菓房たから / 風雅堂 / 寿庵 / 夢菓房寿 / 夢菓房 / 寿製菓のどら焼き
22290,２２２９０,カルビー,カルビー / ポテトチップス / じゃがりこ / かっぱえびせん / サッポロポテト / フルグラ / Jagabee / ピザポテト / じゃがビー
22640,２２６４０,森永乳業,森永乳業 / MOW / ピノ / 森永ビヒダスヨーグルト / 森永アロエヨーグルト / 森永牛乳 / 森永乳業株式会社
22660,２２６６０,六甲バター,六甲バター / Q・B・B / チーズデザート / ベビーチーズ / チーズフォンデュ / スライスチーズ / ナチュラルチーズ / プロセスチーズ / チーズキューブ
22670,２２６７０,ヤクルト本社,ヤクルト / ヤクルト本社 / Yakult / ヤクルトレディ / ヤクルト400 / ヤクルト1000 / ミルミル / ソフール / ビフィーネ
22690,２２６９０,明治ホールディングス,明治ホールディングス / 2269 / 明治 / Meiji / 明治乳業 / 明治製菓 / 明治ザバス / 明治ブルガリアヨーグルト / 明治ミルクチョコレート / 明治アーモンドチョコレート / 明治HD
22700,２２７００,雪印メグミルク,雪印メグミルク / 雪印 / メグミルク / 雪印バター / 雪印コーヒー / 雪印チーズ / 雪印ヨーグルト / 雪印スキムミルク / 雪印北海道バター
22810,２２８１０,プリマハム,プリマハム / プリマ / プリマハムグループ / 香薫 / 匠の膳 / 直火焼 / 旨包 / こだわりの味 / プリマヘルシー
22820,２２８２０,日本ハム,日本ハム / 日ハム / シャウエッセン / 森の薫り / 彩りキッチン / 美ノ国 / アンティエ / 石窯工房 / チキチキボーン
22880,２２８８０,丸大食品,丸大食品 / 丸大ハム / 燻製屋 / 煌彩 / うす塩仕立て / 旨味工房 / 丸大フーズ / 丸大 / 丸大食品グループ
22920,２２９２０,Ｓ　Ｆｏｏｄｓ,Ｓ　Ｆｏｏｄｓ / エスフーズ / こてっちゃん / 牛匠 / ふらんす亭 / 焼肉一番 / こてっちゃん鍋 / こてっちゃん焼肉 / こてっちゃんホルモン
22940,２２９４０,柿安本店,柿安本店 / 柿安 / 柿安ダイニング / 柿安精肉店 / 柿安料亭 / 柿安グルメフーズ / 柿安しぐれ煮 / 柿安牛めし / 柿安デリカ
22960,２２９６０,伊藤ハム米久ホールディングス,伊藤ハム米久ホールディングス / 伊藤ハム / 米久 / アルトバイエルン / グランドアルトバイエルン / 朝のフレッシュ / ラ・ピッツァ / 美味安心 / 旨包ボリュームリッチ / 伊藤ハム米久 / 伊藤ハム米久HD
23010,２３０１０,学情,学情 / あさがくナビ / Re就活 / あさがくチャレンジ / あさがくインターンシップ / あさがく就職エージェント / あさがく転職エージェント / あさがくキャリア / あさがく就活イベント
23050,２３０５０,スタジオアリス,スタジオアリス / スタアリ / アリス / スタジオアリス七五三 / スタジオアリスベビー / スタジオアリスフォト / アリスの写真館 / スタジオアリス成人式 / スタジオアリスフォトブック
23070,２３０７０,クロスキャット,クロスキャット / クロス / クロキャ / CrossCat / CC / クロスキャット株式会社 / クロスキャット証券 / クロスキャット株 / クロスキャット製品
23170,２３１７０,システナ,システナ / Systena / Systena Corporation / Systenaグループ / Systena製品 / Systenaサービス / Systenaソリューション / Systenaブランド / Systenaテクノロジー
23250,２３２５０,ＮＪＳ,
23260,２３２６０,デジタルアーツ,デジタルアーツ / i-FILTER / m-FILTER / FinalCode / ARS / D-SPA / DigitalArts@Cloud / i-フィルター / m-フィルター
23270,２３２７０,日鉄ソリューションズ,NTTソリューションズ / NS Solutions / NSSOL / NSソリューションズ / 日鉄ソリューションズ株式会社 / NSフィールド / NSクラウド / NSセキュリティ
23310,２３３１０,綜合警備保障,ALSOK / 綜合警備保障 / ALSOKガードマン / ALSOKホームセキュリティ / ALSOKマン / ALSOKシステム / ALSOKセキュリティ / ALSOKサービス
23350,２３３５０,キューブシステム,キューブシステム / CUBE SYSTEM / キューブ / Cube / Cube System / キューブシステム株式会社 / Cubeシステム / Cubeシステム株式会社 / CUBE SYSTEM INC.
23370,２３３７０,いちご,いちご / いちごグループ / Ichigo / いちごオフィス / いちごホテル / いちごリート / いちごエナジー / いちご不動産 / いちごアセット
23530,２３５３０,日本駐車場開発,日本駐車場開発 / NPD / 日本駐車場 / 駐車場開発 / パーク24 / 駐車場ビジネス / 駐車場ソリューション / 日本パーキング / NPDグループ
23590,２３５９０,コア,
23710,２３７１０,カカクコム,カカクコム / 価格.com / 食べログ / 価格ナビ / 価格比較 / カカク / kakaku.com / Tabelog / 価格情報
23720,２３７２０,アイロムグループ,アイロムグループ / アイロム / IROM / IROMグループ / アイロムHD / アイロムホールディングス / アイロムバイオサイエンス / セルシード / アイロムCRO / アイロムG
23740,２３７４０,セントケア・ホールディング,セントケア・ホールディング / セントケア / セントケアグループ / セントケアサービス / セントケアホーム / セントケア訪問介護 / セントケアデイサービス / セントケア福祉用具 / セントケアリハビリテーション
23780,２３７８０,ルネサンス,ルネサンス / ルネ / Renaissance / ルネサンススポーツクラブ / ルネサンスジム / ルネサンスフィットネス / ルネサンスプール / ルネサンススタジオ / ルネサンスウェルネス
23790,２３７９０,ディップ,ディップ / バイトル / はたらこねっと / バイトルPRO / ディップAI / ディップソリューション / ディップキャリア / ディップリサーチ
23840,２３８４０,ＳＢＳホールディングス,ＳＢＳホールディングス / ＳＢＳグループ / ＳＢＳロジコム / ＳＢＳトランスポート / ＳＢＳフレイトサービス / ＳＢＳゼンツウ / ＳＢＳリコーロジスティクス / ＳＢＳサポートログ / ＳＢＳスタッフ / ＳＢＳ / ＳＢＳHD
23890,２３８９０,デジタルホールディングス,デジタル / デジタルHD
23950,２３９５０,新日本科学,新日本科学 / 新日科 / SNBL / サイエンス / CROサービス / トキシコロジー / バイオアナリシス / 医薬品開発 / 動物実験
24130,２４１３０,エムスリー,エムスリー / m3 / 2413 / M3 CARE NETWORK / QOLサーベイ / M3 Career / AskDoctors / M3.com / MR君 / 医療従事者向け情報サービス
24290,２４２９０,ワールドホールディングス,ワールドホールディングス / ワールドHD / ワールド / WORLD / WHD / ワールドホールディングスグループ / ワールドホールディングス株式会社 / ワールドホールディングス株
24320,２４３２０,ディー・エヌ・エー,ディー・エヌ・エー / DeNA / Mobage / モバゲー / 横浜DeNAベイスターズ / ベイスターズ / DeNAトラベル / Anyca / MyCODE
24330,２４３３０,博報堂ＤＹホールディングス,博報堂ＤＹホールディングス / 博報堂 / 博報堂DY / 博報堂DYHD / HAKUHODO / HAKUHODO DY / HAKUHODO DY HOLDINGS / 博報堂DYグループ / 博報堂ブランド / 博報堂ＤＹ / 博報堂ＤＹHD
24400,２４４００,ぐるなび,ぐるなび / ぐるなびレストラン / GURUNAVI / ぐるなびデリバリー / ぐるなびウエディング / ぐるなび海外 / ぐるなびギフトカード / ぐるなびプレミアム / ぐるなび会員サービス
24450,２４４５０,タカミヤ,
24610,２４６１０,ファンコミュニケーションズ,ファンコミュニケーションズ / A8.net / nend / adcrops / nex8 / A8フェスティバル / A8キャンパス / A8セルフバック
24620,２４６２０,ライク,ライク / LIKE / ライクキッズ / ライクスタッフィング / ライクキャリア / ライクIT / ライクアカデミー / ライクライフ / ライクメディカル
24710,２４７１０,エスプール,
24750,２４７５０,ＷＤＢホールディングス,ＷＤＢ / ＷＤＢHD
24770,２４７７０,手間いらず,手間いらず / TEMA / 手間いらず.NET / 手間いらず.com / 手間いらずPro / 手間いらずBiz / 手間いらずLite / 手間いらずクラウド / 手間いらず予約システム
24890,２４８９０,アドウェイズ,アドウェイズ / ADWAYS / アドウェイズ株式会社 / ADWAYS INC. / PartyTrack / AppDriver / Smart-C / AppBroadCast / JANet
24910,２４９１０,バリューコマース,バリューコマース / VC / バリュコマ / バリュコ / バリュー / バリュ / バリューコマース株式会社 / バリューコマースアフィリエイト / バリューコマースマーケティング
24920,２４９２０,インフォマート,
25010,２５０１０,サッポロホールディングス,サッポロホールディングス / サッポロビール / 黒ラベル / ヱビス / サッポロラガー / サッポロクラシック / サッポロプレミアム / ポッカサッポロ / サッポロライオン / サッポロ / サッポロHD
25020,２５０２０,アサヒグループホールディングス,アサヒビール / アサヒ飲料 / スーパードライ / クリアアサヒ / ウィルキンソン / カルピス / 三ツ矢サイダー / アサヒグループホールディングス / アサヒグループ / アサヒグループHD
25030,２５０３０,キリンホールディングス,キリンホールディングス / キリンビール / 一番搾り / キリンラガー / キリンレモン / 麒麟 / キリン氷結 / キリンファイア / キリン午後の紅茶 / キリン / キリンHD
250A0,２５０A０,シマダヤ,シマダヤ食品 / シマダヤラーメン / シマダヤうどん / シマダヤそば / シマダヤ冷凍食品 / シマダヤ
25310,２５３１０,宝ホールディングス,宝ホールディングス / 宝酒造 / タカラ / 焼酎ハイボール / タカラ缶チューハイ / タカラ焼酎 / タカラレジェンド / タカラバンブー / 宝 / 宝HD
