ticker,ticker_fullwidth,company_name,variants
18100,１８１００,松井建設,申し訳ありませんが、特定の企業の略称やニックネーム、製品名やブランド名についての具体的な情報は持ち合わせていません。一般的に企業の略称やニックネームは、業界内やSNSでの使われ方によって異なることがあります。松井建設に関する情報を得るためには、公式ウェブサイトや金融ニュース、SNSなどを直接確認することをお勧めします。
18120,１８１２０,鹿島建設,鹿島建設 / 18120 / 鹿島 / 鹿島建 / KAJIMA / 鹿島グループ / 鹿島技術研究所 / 鹿島プロジェクト / 鹿島ブランド / 鹿島の家
18130,１８１３０,不動テトラ,不動テトラ / 18130 / テトラ / 不動 / 不動テ / テトラ工法 / テトラブロック / テトラポッド / 不動テトラ工法 / 不動テトラ製品
18150,１８１５０,鉄建建設,鉄建建設 / 18150 / 鉄建 / TKC / 鉄建グループ / 鉄建ブランド / 鉄建プロジェクト / 鉄建技術 / 鉄建ソリューション / 鉄建インフラ
18200,１８２００,西松建設,西松建設 / 18200 / 西松 / NIPPO / NIPPOコーポレーション / 西松グループ / 西松建設株式会社 / 西松建設グループ / 西松建設工業 / 西松建設プロジェクト
18210,１８２１０,三井住友建設,三井住友建設 / 18210 / 三住建 / SMCC / Mitsui Sumitomo Construction / 三井住友 / 住友建設 / 三住 / Mitsui Construction / Sumitomo Construction
18220,１８２２０,大豊建設,大豊建設 / 18220 / 大豊 / 大豊建 / 大豊建設株式会社 / DAIHO / DAIHO CORPORATION / DAIHO建設 / 大豊ブランド / 大豊プロジェクト
18330,１８３３０,奥村組,奥村組 / 1833 / 奥村 / OKUMURA / オクムラ / 奥村建設 / 奥村グループ / 奥村土木 / 奥村技術 / 奥村プロジェクト
18350,１８３５０,東鉄工業,東鉄工業 / 18350 / 東鉄 / TTK / 東鉄工 / 東鉄工業株式会社 / 東鉄グループ / 東鉄製品 / 東鉄ブランド / 東鉄工業製品
18520,１８５２０,淺沼組,淺沼組 / 18520 / 淺沼 / Asanuma / 淺沼建設 / 淺沼工務店 / 淺沼グループ / 淺沼プロジェクト / 淺沼デザイン / 淺沼技術
18600,１８６００,戸田建設,戸田建設 / 18600 / 戸田 / TODA / 戸田建 / 戸田グループ / TODA Corporation / 戸田建設株式会社 / TODA建設 / TODAグループ
18610,１８６１０,熊谷組,熊谷組 / 18610 / 熊谷 / KUMAGAI / 熊谷建設 / 熊谷グループ / KUMAGAI GUMI / 熊谷組株式会社 / 熊谷組建設 / KUMAGAI CONSTRUCTION
18700,１８７００,矢作建設工業,矢作建設工業 / 18700 / 矢作 / 矢作建設 / YKK / 矢作工業 / 矢作ブランド / 矢作製品 / 矢作プロジェクト / 矢作グループ
18710,１８７１０,ピーエス・コンストラクション,申し訳ありませんが、「ピーエス・コンストラクション」（証券コード: 18710）に関する具体的な略称、ニックネーム、製品名やブランド名の情報は持っていません。一般的に企業の略称やニックネームは、業界や地域、SNSなどで独自に使われることが多いため、特定の情報源やコミュニティで確認することをお勧めします。
18730,１８７３０,日本ハウスホールディングス,日本ハウスホールディングス / 18730 / 日本ハウス / 日本ハウスHD / JHHD / 日本ハウスグループ / 日本ハウスホールディングス株式会社 / 日本ハウスブランド / 日本ハウスの家 / 日本ハウスの住宅
18780,１８７８０,大東建託,大東建託 / 18780 / DK SELECT / いい部屋ネット / 大東 / Daito / Daito Trust / Daito Kentaku / いい部屋 / DKマンション
18790,１８７９０,新日本建設,申し訳ありませんが、「新日本建設」（証券コード: 18790）に関する具体的な略称、ニックネーム、製品名やブランド名についての情報は持っていません。一般的に企業の略称やニックネームはSNSや投資家の間で独自に作られることが多いため、公式な情報としては提供できない場合があります。公式な情報については、企業の公式ウェブサイトや金融情報サービスをご確認ください。
18820,１８８２０,東亜道路工業,東亜道路工業 / 18820 / 東亜道路 / TOA / TOA ROAD / トアロード / トア / トア工業 / トア道路 / トアブランド
18840,１８８４０,日本道路,申し訳ありませんが、「日本道路」（証券コード: 18840）に関する具体的な略称、ニックネーム、製品名やブランド名の情報は持ち合わせていません。一般的に企業の略称やニックネームは、業界や投資家の間で独自に使われることが多いため、公式な情報としては提供されていない場合があります。具体的な情報を得るには、金融ニュースやSNS、企業の公式発表などを直接確認することを
18850,１８８５０,東亜建設工業,東亜建設工業 / 18850 / 東亜建設 / 東亜 / TKK / 東亜コンストラクション / 東亜建 / 東亜工業 / 東亜建設工業株式会社 / 東亜建設工
18870,１８８７０,日本国土開発,日本国土開発 / 18870 / 日国 / NKK / 日本国土 / 国土開発 / JDC / ジャパンデベロップメント / 国土 / 日本国土開発株式会社
18880,１８８８０,若築建設,"申し訳ありませんが、「若築建設」に関する具体的な略称、ニックネーム、製品名やブランド名についての情報は持ち合わせていません。ただし、一般的に企業名や証券コードがそのまま略称として使われることが多いです。以下はその例です。

若築建設 / 18880

具体的な製品名やブランド名については、企業の公式ウェブサイトやプレスリリースなどを参照することをお勧めします。"
18900,１８９００,東洋建設,東洋建設 / 18900 / 東建 / TOYO / 東洋コンストラクション / TOYO Construction / TCC / 東洋建 / 東洋建設株式会社 / 東洋建設グループ
18930,１８９３０,五洋建設,五洋建設 / 18930 / 五洋 / Penta-Ocean / 五洋コンストラクション / 五洋建 / POC / 五洋マリン / 五洋技術 / 五洋プロジェクト
18980,１８９８０,世紀東急工業,"申し訳ありませんが、具体的な略称やニックネーム、製品名やブランド名についての情報は持ち合わせていません。ただし、一般的に企業の略称やニックネームは以下のような形式で使われることがあります：

世紀東急工業 / 18980 / 世紀東急 / 東急工業 / STK / 世紀 / 東急 / 工業 / 世紀東急建設 / 東急建設

具体的な製品名やブランド名については、企業の公式"
18990,１８９９０,福田組,申し訳ありませんが、具体的な企業の略称やニックネーム、製品名やブランド名についての詳細な情報は提供できません。ただし、一般的に企業の略称やニックネームは、会社名の一部や証券コードを基にしたものが使われることがあります。例えば、「福田組」の場合、「福田」、「18990」などが考えられます。詳細な情報については、公式な金融情報サイトやSNSでの言及を確認することをお勧めします
19110,１９１１０,住友林業,住友林業 / 19110 / 住林 / Sumirin / フォレストワン / フォレストメゾン / フォレストガーデン / フォレストヒルズ / フォレストヴィラ / フォレストウッド
19250,１９２５０,大和ハウス工業,大和ハウス工業 / 大和ハウス / ダイワハウス / DAIWA HOUSE / DAIWA / Dハウス / DAIWA LIVING / D's SMART / xevo / LIFULL HOME'S
19260,１９２６０,ライト工業,ライト工業 / 19260 / ライト / LITE / ライトグループ / ライトテクノロジー / ライトソリューション / ライトエンジニアリング / ライトコンストラクション / ライトインフラ
19280,１９２８０,積水ハウス,積水ハウス / 19280 / セキスイハウス / シャーメゾン / グリーンファースト / ビエナ / セキスイファミエス / セキスイツーユーホーム / セキスイイズム / セキスイシャーメゾン
19290,１９２９０,日特建設,日特建設 / 19290 / 日特 / NITTOC / NITTOC建設 / 日特工法 / NITTOCブランド / 日特ソリューション / 日特技術 / 日特プロジェクト
19300,１９３００,北陸電気工事,北陸電気工事 / 19300 / 北電工 / HEC / 北陸電工 / Hokudenko / 北陸電気 / 北陸電工事 / 北陸電気工事株式会社 / 北陸電気工事(株)
19340,１９３４０,ユアテック,ユアテック / 19340 / ユアテック株式会社 / YURATEC / ユアテックグループ / ユアテック電設 / ユアテックエンジニアリング / ユアテックソリューション / ユアテックサービス / ユアテックプロジェクト
19380,１９３８０,日本リーテック,申し訳ありませんが、「日本リーテック」（証券コード: 19380）に関する具体的な略称、ニックネーム、製品名やブランド名についての情報は持ち合わせていません。一般的に企業の略称やニックネームは、SNSや金融ニュースでの使用状況によって変わることがありますので、最新の情報を確認することをお勧めします。
19390,１９３９０,四電工,四電工 / 19390 / 四国電力工事 / 四国電工 / 四電 / 四国電力工事株式会社 / 四国電工株式会社 / 四電工グループ / 四電工ネットワーク / 四電工サービス
19410,１９４１０,中電工,中電工 / 19410 / 中電 / CEC / 中電工グループ / 中電工ネットワーク / 中電工サービス / 中電工エンジニアリング / 中電工ソリューション / 中電工プロジェクト
19420,１９４２０,関電工,関電工 / 19420 / KANDENKO / 関電工株式会社 / KANDENKO Co. / Ltd. / 電気工事 / 通信工事 / 空調設備 / 照明設備 / エネルギーソリューション
19440,１９４４０,きんでん,きんでん / 19440 / Kinden / KND / Kinden Corporation / 近電 / 近畿電気工事 / Kinden Group / Kinden Electric / Kinden Holdings
19450,１９４５０,東京エネシス,申し訳ありませんが、「東京エネシス」（証券コード: 19450）に関する具体的な略称、ニックネーム、製品名やブランド名の情報は持っていません。一般的に企業の略称やニックネームは、業界や投資家の間で非公式に使われることが多いため、公式な情報源から確認することをお勧めします。会社の公式ウェブサイトや金融ニュース、SNSなどで最新の情報を確認してください。
19460,１９４６０,トーエネック,トーエネック / 19460 / TOENEC / トーエネック株式会社 / トーエネックグループ / トーエネック電設 / トーエネックエンジニアリング / トーエネックソリューション / トーエネックサービス / トーエネックプロジェクト
19490,１９４９０,住友電設,住友電設 / 19490 / 住電設 / Sumitomo Densetsu / 住友電工 / 住電 / Sumiden / Sumitomo Electric / SEI / 住友電設株式会社
19500,１９５００,日本電設工業,日本電設工業 / 19500 / 日電工 / NDK / 日本電設 / 電設工 / NDS / 日本電設工業株式会社 / 日電設 / 日本電設工業株
19510,１９５１０,エクシオグループ,申し訳ありませんが、エクシオグループ（証券コード: 19510）に関する具体的な略称、ニックネーム、製品名やブランド名についての情報は持ち合わせていません。一般的に企業の略称やニックネームは、業界内や投資家の間で自然発生的に使われることが多いですが、公式な情報は企業の公式発表や金融ニュースなどで確認する必要があります。
19520,１９５２０,新日本空調,新日本空調 / 19520 / 新日空 / SNA / エアテック / クリーンエアシステム / 空調ソリューション / HVACソリューション / 環境技術 / 空調設備
19590,１９５９０,九電工,九電工 / 19590 / 九電 / 九電工グループ / KDK / 九電工エンジニアリング / 九電工サービス / 九電工ソリューション / 九電工テクノロジー / 九電工プロジェクト
19610,１９６１０,三機工業,三機工業 / 19610 / 三機 / Sanki / 三機空調 / 三機設備 / 三機エンジニアリング / 三機システム / 三機テクノロジー / 三機ソリューション
19630,１９６３０,日揮ホールディングス,日揮ホールディングス / 19630 / 日揮 / JGC / JGCホールディングス / JGCグループ / 日揮グループ / 日揮エンジニアリング / JGCエンジニアリング / 日揮プロジェクト
19640,１９６４０,中外炉工業,中外炉工業 / 19640 / 中外炉 / チュウガイロ / 中外炉エンジニアリング / 中外炉技術 / 中外炉製品 / 中外炉ブランド / 中外炉ソリューション / 中外炉サービス
19680,１９６８０,太平電業,申し訳ありませんが、「太平電業」（証券コード: 19680）に関する略称、ニックネーム、製品名やブランド名の具体的なリストを提供することはできません。一般的に、企業の略称やニックネームはSNSや金融ニュースで使用されることがありますが、これらは非公式であり、文脈によって異なる場合があります。公式な情報については、企業の公式ウェブサイトや金融機関の情報を参照してください。
19690,１９６９０,高砂熱学工業,高砂熱学工業 / 19690 / 高砂 / 高砂熱学 / TAKASAGO / 高砂エンジニアリング / 高砂技術 / 高砂製品 / 高砂ブランド / 高砂システム
19730,１９７３０,ＮＥＣネッツエスアイ,ＮＥＣネッツエスアイ / 19730 / ネッツエスアイ / NEC Nets SI / NECネッツ / ネッツSI / NEC NSI / NECネットワーク / ネットワークソリューション / NECコミュニケーション
19750,１９７５０,朝日工業社,申し訳ありませんが、「朝日工業社」（証券コード: 19750）に関する具体的な略称、ニックネーム、製品名やブランド名の情報は持っていません。一般的な情報やニュース記事を参照することをお勧めします。
19760,１９７６０,明星工業,申し訳ありませんが、「明星工業」（証券コード: 19760）に関する具体的な略称、ニックネーム、製品名やブランド名の情報は持ち合わせていません。一般的に企業の略称やニックネームは、業界や地域、またはSNS上での使われ方によって異なることがあります。具体的な情報を得るためには、金融ニュースサイトやSNSでの検索をお勧めします。
19790,１９７９０,大氣社,大氣社 / 19790 / ダイキ / 空調設備 / クリーンルーム / 環境システム / プラントエンジニアリング / HVAC / エアコン / 産業設備
19800,１９８００,ダイダン,ダイダン / 19800 / ダイダン株式会社 / Daidan / ダイダン工業 / ダイダン設備 / ダイダンテクノロジー / ダイダンエンジニアリング / ダイダンソリューション / ダイダンプロジェクト
19820,１９８２０,日比谷総合設備,日比谷総合設備 / 19820 / 日比谷設備 / Hibiya Engineering / Hibiya / Hibiya SE / 日比谷 / Hibiya総合 / Hibiya設備 / Hibiyaエンジニアリング
20010,２００１０,ニップン,ニップン / 日本製粉 / オーマイ / REGALO / アマニ / ニップンアマニ / ニップンウェルナ / ニップンフーズ / ニップンプレミアム / 20010
20020,２００２０,日清製粉グループ本社,日清製粉グループ本社 / 20020 / 日清製粉 / 日清フーズ / マ・マー / オーマイ / 日清ファルマ / 日清製粉ウェルナ / 日清ペットフード / 日清製粉プレミックス
20030,２００３０,日東富士製粉,日東富士製粉 / 20030 / 日東富士 / ニットーフーズ / ニットーミックス / ニットー / 富士製粉 / ニットー製粉 / 日東製粉 / ニットー富士
20040,２００４０,昭和産業,昭和産業 / 20040 / SHOWA / 昭和天ぷら粉 / 昭和の小麦粉 / 昭和の油 / 昭和のパスタ / 昭和のパン粉 / 昭和のホットケーキミックス / 昭和の調味料
20530,２０５３０,中部飼料,中部飼料 / 20530 / 中飼 / フィードワン / フィードワングループ / フィードワンホールディングス / フィードワンアグリ / フィードワンペット / フィードワンアクア / フィードワンバイオ
20600,２０６００,フィード・ワン,フィード・ワン / 20600 / フィードワン / フィード・ワンホールディングス / アニマルフィード / アクアフィード / ペットフード / 飼料 / フィードワンフーズ / フィードワンアグリ
21080,２１０８０,日本甜菜製糖,日本甜菜製糖 / 21080 / ビート糖 / スズラン印 / 北海道ビート / てんさい糖 / スズランブランド / ビートシュガー / 甜菜糖 / 北海道産糖
21090,２１０９０,ＤＭ三井製糖ホールディングス,ＤＭ三井製糖ホールディングス / 21090 / 三井製糖 / スプーン印 / パールエース / 角砂糖 / グラニュー糖 / 三井糖 / 三井砂糖 / みついさとう
21170,２１１７０,ウェルネオシュガー,ウェルネオシュガー / 21170 / ウェルシュガー / ネオシュガー / ウェルネオ / ウェルシュ / ネオシュ / ウェルネ / ウェル / ネオ
21200,２１２００,ＬＩＦＵＬＬ,LIFULL / ライフル / 21200 / LIFULL HOME'S / HOME'S / LIFULL介護 / LIFULL引越し / LIFULL不動産 / LIFULL住まい / LIFULLインテリア
21210,２１２１０,ＭＩＸＩ,ミクシィ / mixi / モンスト / モンスターストライク / XFLAG / FamilyAlbum / 21210 / モンパス / モンストスタジアム / モンストグランプリ
21240,２１２４０,ジェイエイシーリクルートメント,ジェイエイシーリクルートメント / JACリクルートメント / JAC / 21240 / JAC Recruitment / ジェイエイシー / JACジャパン / JACグループ / ジェイエイシー・ジャパン / JAC International
21270,２１２７０,日本Ｍ＆Ａセンターホールディングス,日本M&Aセンターホールディングス / 21270 / M&Aセンター / 日本M&A / JMAC / M&Aホールディングス / 日本M&Aセンターホールディングス株式会社 / M&Aセンターホールディングス / 日本M&Aセンター / M&AセンターHD
21300,２１３００,メンバーズ,申し訳ありませんが、具体的な企業の略称やニックネーム、製品名、ブランド名に関する情報は提供できません。ただし、一般的に企業の略称やニックネームは、企業名の一部や証券コードを基にしていることが多いです。例えば、「メンバーズ」であれば「MEMBERS」や「21300」などが考えられます。具体的な情報は、公式な金融情報サイトやSNSで確認することをお勧めします。
21460,２１４６０,ＵＴグループ,UTグループ / UT / UTホールディングス / UTエンジニアリング / UTテクノロジー / UTコンストラクション / UTファクトリー / UTパートナーズ / UTキャリア / 証券コード21460
21480,２１４８０,アイティメディア,アイティメディア / 21480 / ITmedia / アイティメディア株式会社 / ITmedia News / ITmedia Mobile / ITmedia ビジネスオンライン / ITmedia エンタープライズ / ITmedia マーケティング / ねとらぼ
21500,２１５００,ケアネット,ケアネット / 21500 / ケアネット株式会社 / CareNet / CareNet.com / ケアネットニュース / ケアネットマガジン / ケアネットTV / ケアネットセミナー / ケアネットアカデミー
21530,２１５３０,Ｅ・Ｊホールディングス,申し訳ありませんが、「Ｅ・Ｊホールディングス」（証券コード: 21530）に関する具体的な略称、ニックネーム、製品名やブランド名の情報は持っていません。会社の公式な情報や製品名、ブランド名については、公式ウェブサイトや金融ニュース、SNSなどの信頼できる情報源を確認することをお勧めします。
21540,２１５４０,オープンアップグループ,申し訳ありませんが、「オープンアップグループ」（証券コード: 21540）に関する具体的な略称、ニックネーム、製品名やブランド名のリストを提供することはできません。最新の情報は公式ウェブサイトや金融ニュース、SNSなどで確認することをお勧めします。
21570,２１５７０,コシダカホールディングス,コシダカホールディングス / 21570 / カラオケまねきねこ / まねきねこ / ひとりカラオケ専門店ワンカラ / ワンカラ / コシダカ / コシダカHD / コシダカグループ / まねきねこアプリ
21680,２１６８０,パソナグループ,パソナ / パソナグループ / 21680 / Pasona / Pasona Group / パソナキャリア / パソナテック / パソナフォーチュン / パソナHRソリューション / パソナアーバンファーム
21700,２１７００,リンクアンドモチベーション,リンクアンドモチベーション / LMI / 21700 / Link and Motivation / モチベーションクラウド / エンゲージメントサーベイ / モチベーションカンパニー / リンクアンドカンパニー / モチベーションアカデミー / リンクアンドリーダーシップ
21750,２１７５０,エス・エム・エス,エス・エム・エス / SMS / 21750 / カイポケ / 介護のほんね / 看護のお仕事 / ナース専科 / イーキャリアFA / 介護求人ナビ / 介護ワーカー
21810,２１８１０,パーソルホールディングス,パーソル / PERSOL / パーソルHD / パーソルホールディングス / 21810 / テンプスタッフ / doda / ミイダス / パーソルキャリア / パーソルプロセス&テクノロジー
21930,２１９３０,クックパッド,クックパッド / 21930 / クック / クックパッド株式会社 / Cookpad / クックパッドレシピ / クックパッドアプリ / クックパッドマート / クックパッドストア / クックパッドダイエット
22010,２２０１０,森永製菓,森永製菓 / 22010 / 森永 / チョコボール / ミルクキャラメル / ハイチュウ / ダース / 森永アイス / 森永ビスケット / 森永ホットケーキミックス
22040,２２０４０,中村屋,中村屋 / 22040 / 中村屋カレー / 月餅 / あんまん / 肉まん / 中村屋レトルト / 中村屋スパイス / 中村屋パン / 中村屋スイーツ
22060,２２０６０,江崎グリコ,江崎グリコ / グリコ / 22060 / ポッキー / プリッツ / アーモンドチョコレート / カプリコ / ビスコ / パピコ / ジャイアントコーン
22070,２２０７０,名糖産業,名糖産業 / 22070 / 名糖 / メイトー / スティックカフェオレ / スティックコーヒー / 名糖プリン / 名糖チョコレート / 名糖ミルク / 名糖アイスクリーム
22090,２２０９０,井村屋グループ,井村屋グループ / 22090 / 井村屋 / あずきバー / やわもちアイス / クリームチーズデザート / 井村屋の肉まん / 井村屋のあんまん / 井村屋の中華まん / 井村屋のたい焼き
22110,２２１１０,不二家,不二家 / 22110 / ペコちゃん / ミルキー / カントリーマアム / ルックチョコレート / ホームパイ / ポップキャンディ / ネクター / 不二家レストラン
22120,２２１２０,山崎製パン,山崎製パン / 22120 / ヤマザキ / 山パン / ランチパック / ダブルソフト / ロイヤルブレッド / 超芳醇 / ゴールドシリーズ / まるごとソーセージ
22170,２２１７０,モロゾフ,モロゾフ / 22170 / モロゾフチョコレート / モロゾフプリン / モロゾフケーキ / モロゾフスイーツ / モロゾフギフト / モロゾフデザート / モロゾフカフェ / モロゾフブランド
22200,２２２００,亀田製菓,亀田製菓 / 22200 / 亀田 / 亀田の柿の種 / ハッピーターン / ぽたぽた焼 / 亀田のあられ / サラダホープ / 亀田のまがりせんべい / 亀田の海苔ピーパック
22220,２２２２０,寿スピリッツ,寿スピリッツ / 22220 / 寿製菓 / 砂糖の国のケーキ屋さん / 夢菓房たから / 風雅堂 / 寿庵 / 夢菓房寿 / 夢菓房 / 寿製菓のどら焼き
22290,２２２９０,カルビー,カルビー / 22290 / ポテトチップス / じゃがりこ / かっぱえびせん / サッポロポテト / フルグラ / Jagabee / ピザポテト / じゃがビー
22640,２２６４０,森永乳業,森永乳業 / 22640 / 森永 / MOW / ピノ / 森永ビヒダスヨーグルト / 森永アロエヨーグルト / 森永牛乳 / 森永アイス / 森永乳業株式会社
22660,２２６６０,六甲バター,六甲バター / 22660 / Q・B・B / チーズデザート / ベビーチーズ / チーズフォンデュ / スライスチーズ / ナチュラルチーズ / プロセスチーズ / チーズキューブ
22670,２２６７０,ヤクルト本社,ヤクルト / ヤクルト本社 / 22670 / Yakult / ヤクルトレディ / ヤクルト400 / ヤクルト1000 / ミルミル / ソフール / ビフィーネ
22690,２２６９０,明治ホールディングス,明治ホールディングス / 2269 / 明治 / Meiji / 明治乳業 / 明治製菓 / 明治ザバス / 明治ブルガリアヨーグルト / 明治ミルクチョコレート / 明治アーモンドチョコレート
22700,２２７００,雪印メグミルク,雪印メグミルク / 22700 / 雪印 / メグミルク / 雪印バター / 雪印コーヒー / 雪印チーズ / 雪印ヨーグルト / 雪印スキムミルク / 雪印北海道バター
22810,２２８１０,プリマハム,プリマハム / 22810 / プリマ / プリマハムグループ / 香薫 / 匠の膳 / 直火焼 / 旨包 / こだわりの味 / プリマヘルシー
