ticker,ticker_fullwidth,company_name,variants,sector17_code,sector17,variants_cleaned
14350,１４３５０,ｒｏｂｏｔ　ｈｏｍｅ,ロボットホーム / robot home / ロボホーム / Rホーム / R-home / Rホームシステム / R-home AI / R-home IoT / R-home Security,17,不動産,(ロボットホーム OR robot OR home OR ロボホーム OR Rホーム OR R-home OR Rホームシステム OR AI OR IoT OR Security)
15140,１５１４０,住石ホールディングス,住石ホールディングス / 住石 / 住石HD / 住石ホールディングス株式会社 / 住石グループ / 住友石炭 / 住友石炭鉱業 / 住石ブランド / 住石製品,2,エネルギー資源,(住石ホールディングス OR 住石 OR 住石HD OR 住石ホールディングス株式会社 OR 住石グループ OR 住友石炭 OR 住友石炭鉱業 OR 住石ブランド OR 住石製品)
15150,１５１５０,日鉄鉱業,日鉄鉱業 / 日鉄鉱 / Nittetsu Mining / 日鉄鉱業株式会社 / Nittetsu / Nittetsu Kougyou / 日鉄鉱業グループ / Nittetsu Mining Co. / Ltd. / 日鉄鉱業製品,2,エネルギー資源,(日鉄鉱業 OR 日鉄鉱 OR Nittetsu OR Mining OR 日鉄鉱業株式会社 OR Kougyou OR 日鉄鉱業グループ OR Co. OR Ltd. OR 日鉄鉱業製品)
15180,１５１８０,三井松島ホールディングス,三井松島ホールディングス / 三井松島 / 松島 / MMHD / 三井松島HD / 三井松島ホールディングス株式会社 / Mitsui Matsushima Holdings / Mitsui Matsushima / MM Holdings,10,情報通信・サービスその他,(三井松島ホールディングス OR 三井松島 OR 松島 OR MMHD OR 三井松島HD OR 三井松島ホールディングス株式会社 OR Mitsui OR Matsushima OR Holdings OR MM)
16050,１６０５０,ＩＮＰＥＸ,INPEX / 国際石油開発帝石 / インペックス / INPEXエネルギー / INPEXオイル / INPEXガス / INPEXプロジェクト / INPEX開発 / INPEXリソース,2,エネルギー資源,(INPEX OR 国際石油開発帝石 OR インペックス OR INPEXエネルギー OR INPEXオイル OR INPEXガス OR INPEXプロジェクト OR INPEX開発 OR INPEXリソース)
16620,１６６２０,石油資源開発,石油資源開発 / JAPEX / 石油資源 / 石油開発 / JAPEX石油 / JAPEX開発 / 石油資源開発株式会社 / JAPEX株式会社 / 石油資源開発(株),2,エネルギー資源,(石油資源開発 OR JAPEX OR 石油資源 OR 石油開発 OR JAPEX石油 OR JAPEX開発 OR 石油資源開発株式会社 OR JAPEX株式会社 OR 石油資源開発(株))
16630,１６６３０,Ｋ＆Ｏエナジーグループ,Ｋ＆Ｏエナジー / Ｋ＆ＯエナジーG,2,エネルギー資源,(Ｋ＆Ｏエナジー OR Ｋ＆ＯエナジーG)
167A0,１６７A０,リョーサン菱洋ホールディングス,リョーサン菱洋 / リョーサン菱洋HD,13,商社・卸売,(リョーサン菱洋 OR リョーサン菱洋HD)
17160,１７１６０,第一カッター興業,第一カッター興業 / ダイイチカッター / カッター興業 / DCK / カッター工業 / 第一カッター / ダイイチ / カッター / カッターサービス,3,建設・資材,(第一カッター興業 OR ダイイチカッター OR カッター興業 OR DCK OR カッター工業 OR 第一カッター OR ダイイチ OR カッター OR カッターサービス)
17190,１７１９０,安藤・間,,3,建設・資材,
17200,１７２００,東急建設,東急建設 / Tokyu Construction / 東急コン / Tokyu Kensetsu / 東急建 / 東急建設株式会社 / 東急建設グループ / 東急,3,建設・資材,(東急建設 OR Tokyu OR Construction OR 東急コン OR Kensetsu OR 東急建 OR 東急建設株式会社 OR 東急建設グループ OR 東急)
17210,１７２１０,コムシスホールディングス,コムシスホールディングス / コムシス / COMSYS / コムシスHD / コムシスホールディングス株式会社 / コムシスグループ / コムシスネットワーク / コムシスソリューション / コムシスエンジニアリング,3,建設・資材,(コムシスホールディングス OR コムシス OR COMSYS OR コムシスHD OR コムシスホールディングス株式会社 OR コムシスグループ OR コムシスネットワーク OR コムシスソリューション OR コムシスエンジニアリング)
17260,１７２６０,ビーアールホールディングス,ビーアール / ビーアールHD,3,建設・資材,(ビーアール OR ビーアールHD)
17620,１７６２０,高松コンストラクショングループ,高松コンストラクション / 高松コンストラクションG,3,建設・資材,(高松コンストラクション OR 高松コンストラクションG)
17660,１７６６０,東建コーポレーション,東建コーポレーション / ホームメイト / ホームメイト・リサーチ / ホームメイト・ネット / ホームメイト・ショップ / ホームメイト・レジデンス / ホームメイト・オフィス,3,建設・資材,(東建コーポレーション OR ホームメイト OR リサーチ OR ネット OR ショップ OR レジデンス OR オフィス)
17800,１７８００,ヤマウラ,,3,建設・資材,
17860,１７８６０,オリエンタル白石,オリエンタル白石 / オリ白 / オリエンタル / OWS / オリエンタルホワイトストーン / 白石 / オリホク / オリエンタル建設 / オリエンタル技研,3,建設・資材,(オリエンタル白石 OR オリ白 OR オリエンタル OR OWS OR オリエンタルホワイトストーン OR 白石 OR オリホク OR オリエンタル建設 OR オリエンタル技研)
18010,１８０１０,大成建設,大成建設 / TAISEI / 大成 / TAISEI CORPORATION / 大成グループ / 大成建設株式会社 / TAISEI建設 / 大成プロジェクト / TAISEIブランド,3,建設・資材,(大成建設 OR TAISEI OR 大成 OR CORPORATION OR 大成グループ OR 大成建設株式会社 OR TAISEI建設 OR 大成プロジェクト OR TAISEIブランド)
18020,１８０２０,大林組,大林組 / 大林 / OBAYASHI / OBAYASHI CORPORATION / 大林グループ / 大林建設 / 大林プロジェクト / 大林技術 / 大林エンジニアリング,3,建設・資材,(大林組 OR 大林 OR OBAYASHI OR CORPORATION OR 大林グループ OR 大林建設 OR 大林プロジェクト OR 大林技術 OR 大林エンジニアリング)
18030,１８０３０,清水建設,清水建設 / 清水 / シミケン / 清建 / Shimizu Corporation / ピルコム / ピルコム工法 / シミズ / SHIMIZU,3,建設・資材,(清水建設 OR 清水 OR シミケン OR 清建 OR Shimizu OR Corporation OR ピルコム OR ピルコム工法 OR シミズ OR SHIMIZU)
18080,１８０８０,長谷工コーポレーション,長谷工 / 長谷工コーポレーション / HASEKO / HASEKOグループ / 長谷工マンション / 長谷工の家 / 長谷工不動産 / 長谷工リフォーム / 長谷工コミュニティ,3,建設・資材,(長谷工 OR 長谷工コーポレーション OR HASEKO OR HASEKOグループ OR 長谷工マンション OR 長谷工の家 OR 長谷工不動産 OR 長谷工リフォーム OR 長谷工コミュニティ)
18100,１８１００,松井建設,松井,3,建設・資材,(松井)
18120,１８１２０,鹿島建設,鹿島建設 / 鹿島 / 鹿島建 / KAJIMA / 鹿島グループ / 鹿島技術研究所 / 鹿島プロジェクト / 鹿島ブランド / 鹿島の家,3,建設・資材,(鹿島建設 OR 鹿島 OR 鹿島建 OR KAJIMA OR 鹿島グループ OR 鹿島技術研究所 OR 鹿島プロジェクト OR 鹿島ブランド OR 鹿島の家)
18130,１８１３０,不動テトラ,不動テトラ / テトラ / 不動 / 不動テ / テトラ工法 / テトラブロック / テトラポッド / 不動テトラ工法 / 不動テトラ製品,3,建設・資材,(不動テトラ OR テトラ OR 不動 OR 不動テ OR テトラ工法 OR テトラブロック OR テトラポッド OR 不動テトラ工法 OR 不動テトラ製品)
18150,１８１５０,鉄建建設,鉄建建設 / 鉄建 / 鉄建グループ / 鉄建ブランド / 鉄建プロジェクト / 鉄建技術 / 鉄建ソリューション / 鉄建インフラ,3,建設・資材,(鉄建建設 OR 鉄建 OR 鉄建グループ OR 鉄建ブランド OR 鉄建プロジェクト OR 鉄建技術 OR 鉄建ソリューション OR 鉄建インフラ)
18200,１８２００,西松建設,西松建設 / 西松 / NIPPO / NIPPOコーポレーション / 西松グループ / 西松建設株式会社 / 西松建設グループ / 西松建設工業 / 西松建設プロジェクト,3,建設・資材,(西松建設 OR 西松 OR NIPPO OR NIPPOコーポレーション OR 西松グループ OR 西松建設株式会社 OR 西松建設グループ OR 西松建設工業 OR 西松建設プロジェクト)
18210,１８２１０,三井住友建設,三井住友建設 / 三住建 / SMCC / Mitsui Sumitomo Construction / 三井住友 / 住友建設 / 三住 / Mitsui Construction / Sumitomo Construction,3,建設・資材,(三井住友建設 OR 三住建 OR SMCC OR Mitsui OR Sumitomo OR Construction OR 三井住友 OR 住友建設 OR 三住)
18220,１８２２０,大豊建設,大豊建設 / 大豊 / 大豊建 / 大豊建設株式会社 / DAIHO CORPORATION / DAIHO建設 / 大豊ブランド / 大豊プロジェクト,3,建設・資材,(大豊建設 OR 大豊 OR 大豊建 OR 大豊建設株式会社 OR DAIHO OR CORPORATION OR DAIHO建設 OR 大豊ブランド OR 大豊プロジェクト)
18330,１８３３０,奥村組,奥村組 / 1833 / 奥村 / OKUMURA / オクムラ / 奥村建設 / 奥村グループ / 奥村土木 / 奥村技術 / 奥村プロジェクト,3,建設・資材,(奥村組 OR 奥村 OR OKUMURA OR オクムラ OR 奥村建設 OR 奥村グループ OR 奥村土木 OR 奥村技術 OR 奥村プロジェクト)
18350,１８３５０,東鉄工業,東鉄工業 / TTK / 東鉄工 / 東鉄工業株式会社 / 東鉄グループ / 東鉄製品 / 東鉄ブランド / 東鉄工業製品 / 東鉄,3,建設・資材,(東鉄工業 OR TTK OR 東鉄工 OR 東鉄工業株式会社 OR 東鉄グループ OR 東鉄製品 OR 東鉄ブランド OR 東鉄工業製品 OR 東鉄)
18520,１８５２０,淺沼組,淺沼組 / 淺沼 / Asanuma / 淺沼建設 / 淺沼工務店 / 淺沼グループ / 淺沼プロジェクト / 淺沼デザイン / 淺沼技術,3,建設・資材,(淺沼組 OR 淺沼 OR Asanuma OR 淺沼建設 OR 淺沼工務店 OR 淺沼グループ OR 淺沼プロジェクト OR 淺沼デザイン OR 淺沼技術)
18600,１８６００,戸田建設,戸田建設 / 戸田 / TODA / 戸田建 / 戸田グループ / TODA Corporation / 戸田建設株式会社 / TODA建設 / TODAグループ,3,建設・資材,(戸田建設 OR 戸田 OR TODA OR 戸田建 OR 戸田グループ OR Corporation OR 戸田建設株式会社 OR TODA建設 OR TODAグループ)
18610,１８６１０,熊谷組,熊谷組 / 熊谷 / KUMAGAI / 熊谷建設 / 熊谷グループ / KUMAGAI GUMI / 熊谷組株式会社 / 熊谷組建設 / KUMAGAI CONSTRUCTION,3,建設・資材,(熊谷組 OR 熊谷 OR KUMAGAI OR 熊谷建設 OR 熊谷グループ OR GUMI OR 熊谷組株式会社 OR 熊谷組建設 OR CONSTRUCTION)
18700,１８７００,矢作建設工業,矢作建設工業 / 矢作 / 矢作建設 / YKK / 矢作工業 / 矢作ブランド / 矢作製品 / 矢作プロジェクト / 矢作グループ,3,建設・資材,(矢作建設工業 OR 矢作 OR 矢作建設 OR YKK OR 矢作工業 OR 矢作ブランド OR 矢作製品 OR 矢作プロジェクト OR 矢作グループ)
18710,１８７１０,ピーエス・コンストラクション,,3,建設・資材,
18730,１８７３０,日本ハウスホールディングス,日本ハウスホールディングス / 日本ハウス / 日本ハウスHD / JHHD / 日本ハウスグループ / 日本ハウスホールディングス株式会社 / 日本ハウスブランド / 日本ハウスの家 / 日本ハウスの住宅,3,建設・資材,(日本ハウスホールディングス OR 日本ハウス OR 日本ハウスHD OR JHHD OR 日本ハウスグループ OR 日本ハウスホールディングス株式会社 OR 日本ハウスブランド OR 日本ハウスの家 OR 日本ハウスの住宅)
18780,１８７８０,大東建託,大東建託 / DK SELECT / いい部屋ネット / 大東 / Daito / Daito Trust / Daito Kentaku / いい部屋 / DKマンション,17,不動産,(大東建託 OR DK OR SELECT OR いい部屋ネット OR 大東 OR Daito OR Trust OR Kentaku OR いい部屋 OR DKマンション)
18790,１８７９０,新日本建設,新日本,3,建設・資材,(新日本)
18820,１８８２０,東亜道路工業,東亜道路工業 / 東亜道路 / TOA / TOA ROAD / トアロード / トア / トア工業 / トア道路 / トアブランド,3,建設・資材,(東亜道路工業 OR 東亜道路 OR TOA OR ROAD OR トアロード OR トア OR トア工業 OR トア道路 OR トアブランド)
18840,１８８４０,日本道路,,3,建設・資材,
18850,１８８５０,東亜建設工業,東亜建設工業 / 東亜建設 / 東亜コンストラクション / 東亜建 / 東亜工業 / 東亜建設工業株式会社 / 東亜建設工,3,建設・資材,(東亜建設工業 OR 東亜建設 OR 東亜コンストラクション OR 東亜建 OR 東亜工業 OR 東亜建設工業株式会社 OR 東亜建設工)
18870,１８８７０,日本国土開発,日本国土開発 / 日国 / 日本国土 / 国土開発 / JDC / ジャパンデベロップメント / 国土 / 日本国土開発株式会社,3,建設・資材,(日本国土開発 OR 日国 OR 日本国土 OR 国土開発 OR JDC OR ジャパンデベロップメント OR 国土 OR 日本国土開発株式会社)
18880,１８８８０,若築建設,若築,3,建設・資材,(若築)
18900,１８９００,東洋建設,東洋建設 / TOYO / 東洋コンストラクション / TOYO Construction / 東洋建 / 東洋建設株式会社 / 東洋建設グループ / 東洋,3,建設・資材,(東洋建設 OR TOYO OR 東洋コンストラクション OR Construction OR 東洋建 OR 東洋建設株式会社 OR 東洋建設グループ OR 東洋)
18930,１８９３０,五洋建設,五洋建設 / 五洋 / Penta-Ocean / 五洋コンストラクション / 五洋建 / POC / 五洋マリン / 五洋技術 / 五洋プロジェクト,3,建設・資材,(五洋建設 OR 五洋 OR Penta-Ocean OR 五洋コンストラクション OR 五洋建 OR POC OR 五洋マリン OR 五洋技術 OR 五洋プロジェクト)
18980,１８９８０,世紀東急工業,"世紀東急 / 東急工業 / STK / 世紀 / 工業 / 世紀東急建設 / 東急建設

具体的な製品名やブランド名については、企業の公式",3,建設・資材,(世紀東急 OR 東急工業 OR STK OR 世紀 OR 世紀東急建設 OR 東急建設 OR 具体的な製品名やブランド名については OR 企業の公式)
18990,１８９９０,福田組,,3,建設・資材,
19110,１９１１０,住友林業,住友林業 / 住林 / Sumirin / フォレストワン / フォレストメゾン / フォレストガーデン / フォレストヒルズ / フォレストヴィラ / フォレストウッド,3,建設・資材,(住友林業 OR 住林 OR Sumirin OR フォレストワン OR フォレストメゾン OR フォレストガーデン OR フォレストヒルズ OR フォレストヴィラ OR フォレストウッド)
19250,１９２５０,大和ハウス工業,大和ハウス工業 / 大和ハウス / ダイワハウス / DAIWA HOUSE / Dハウス / DAIWA LIVING / D's SMART / xevo,3,建設・資材,(大和ハウス工業 OR 大和ハウス OR ダイワハウス OR DAIWA OR HOUSE OR Dハウス OR LIVING OR D's OR SMART OR xevo)
19260,１９２６０,ライト工業,ライト工業 / LITE / ライトグループ / ライトテクノロジー / ライトソリューション / ライトエンジニアリング / ライトコンストラクション / ライトインフラ / ライト,3,建設・資材,(ライト工業 OR LITE OR ライトグループ OR ライトテクノロジー OR ライトソリューション OR ライトエンジニアリング OR ライトコンストラクション OR ライトインフラ OR ライト)
19280,１９２８０,積水ハウス,積水ハウス / セキスイハウス / シャーメゾン / グリーンファースト / ビエナ / セキスイツーユーホーム / セキスイイズム / セキスイシャーメゾン,3,建設・資材,(積水ハウス OR セキスイハウス OR シャーメゾン OR グリーンファースト OR ビエナ OR セキスイツーユーホーム OR セキスイイズム OR セキスイシャーメゾン)
19290,１９２９０,日特建設,日特建設 / 日特 / NITTOC / NITTOC建設 / 日特工法 / NITTOCブランド / 日特ソリューション / 日特技術 / 日特プロジェクト,3,建設・資材,(日特建設 OR 日特 OR NITTOC OR NITTOC建設 OR 日特工法 OR NITTOCブランド OR 日特ソリューション OR 日特技術 OR 日特プロジェクト)
19300,１９３００,北陸電気工事,北陸電気工事 / 北電工 / HEC / 北陸電工 / Hokudenko / 北陸電気 / 北陸電工事 / 北陸電気工事株式会社 / 北陸電気工事(株),3,建設・資材,(北陸電気工事 OR 北電工 OR HEC OR 北陸電工 OR Hokudenko OR 北陸電気 OR 北陸電工事 OR 北陸電気工事株式会社 OR 北陸電気工事(株))
19340,１９３４０,ユアテック,ユアテック / ユアテック株式会社 / YURATEC / ユアテックグループ / ユアテック電設 / ユアテックエンジニアリング / ユアテックソリューション / ユアテックサービス / ユアテックプロジェクト,3,建設・資材,(ユアテック OR ユアテック株式会社 OR YURATEC OR ユアテックグループ OR ユアテック電設 OR ユアテックエンジニアリング OR ユアテックソリューション OR ユアテックサービス OR ユアテックプロジェクト)
19380,１９３８０,日本リーテック,,3,建設・資材,
19390,１９３９０,四電工,四電工 / 四国電力工事 / 四国電工 / 四国電力工事株式会社 / 四国電工株式会社 / 四電工グループ / 四電工ネットワーク / 四電工サービス,3,建設・資材,(四電工 OR 四国電力工事 OR 四国電工 OR 四国電力工事株式会社 OR 四国電工株式会社 OR 四電工グループ OR 四電工ネットワーク OR 四電工サービス)
19410,１９４１０,中電工,中電工 / 中電工グループ / 中電工ネットワーク / 中電工サービス / 中電工エンジニアリング / 中電工ソリューション / 中電工プロジェクト,3,建設・資材,(中電工 OR 中電工グループ OR 中電工ネットワーク OR 中電工サービス OR 中電工エンジニアリング OR 中電工ソリューション OR 中電工プロジェクト)
19420,１９４２０,関電工,関電工 / KANDENKO / 関電工株式会社 / KANDENKO Co. / Ltd. / 電気工事 / 通信工事 / 空調設備 / 照明設備,3,建設・資材,(関電工 OR KANDENKO OR 関電工株式会社 OR Co. OR Ltd. OR 電気工事 OR 通信工事 OR 空調設備 OR 照明設備)
19440,１９４４０,きんでん,きんでん / Kinden / KND / Kinden Corporation / 近電 / 近畿電気工事 / Kinden Group / Kinden Electric / Kinden Holdings,3,建設・資材,(きんでん OR Kinden OR KND OR Corporation OR 近電 OR 近畿電気工事 OR Group OR Electric OR Holdings)
19450,１９４５０,東京エネシス,,3,建設・資材,
19460,１９４６０,トーエネック,トーエネック / TOENEC / トーエネック株式会社 / トーエネックグループ / トーエネック電設 / トーエネックエンジニアリング / トーエネックソリューション / トーエネックサービス / トーエネックプロジェクト,3,建設・資材,(トーエネック OR TOENEC OR トーエネック株式会社 OR トーエネックグループ OR トーエネック電設 OR トーエネックエンジニアリング OR トーエネックソリューション OR トーエネックサービス OR トーエネックプロジェクト)
19490,１９４９０,住友電設,住友電設 / 住電設 / Sumitomo Densetsu / 住友電工 / Sumiden / 住友電設株式会社,3,建設・資材,(住友電設 OR 住電設 OR Sumitomo OR Densetsu OR 住友電工 OR Sumiden OR 住友電設株式会社)
19500,１９５００,日本電設工業,日本電設工業 / 日電工 / 日本電設 / 電設工 / 日本電設工業株式会社 / 日電設 / 日本電設工業株,3,建設・資材,(日本電設工業 OR 日電工 OR 日本電設 OR 電設工 OR 日本電設工業株式会社 OR 日電設 OR 日本電設工業株)
19510,１９５１０,エクシオグループ,エクシオ / エクシオG,3,建設・資材,(エクシオ OR エクシオG)
19520,１９５２０,新日本空調,新日本空調 / 新日空 / SNA / エアテック / クリーンエアシステム / 空調ソリューション / HVACソリューション / 環境技術 / 空調設備,3,建設・資材,(新日本空調 OR 新日空 OR SNA OR エアテック OR クリーンエアシステム OR 空調ソリューション OR HVACソリューション OR 環境技術 OR 空調設備)
19590,１９５９０,九電工,九電工 / 九電工グループ / 九電工エンジニアリング / 九電工サービス / 九電工ソリューション / 九電工テクノロジー / 九電工プロジェクト,3,建設・資材,(九電工 OR 九電工グループ OR 九電工エンジニアリング OR 九電工サービス OR 九電工ソリューション OR 九電工テクノロジー OR 九電工プロジェクト)
19610,１９６１０,三機工業,三機工業 / 三機 / Sanki / 三機空調 / 三機設備 / 三機エンジニアリング / 三機システム / 三機テクノロジー / 三機ソリューション,3,建設・資材,(三機工業 OR 三機 OR Sanki OR 三機空調 OR 三機設備 OR 三機エンジニアリング OR 三機システム OR 三機テクノロジー OR 三機ソリューション)
19630,１９６３０,日揮ホールディングス,日揮ホールディングス / 日揮 / JGC / JGCホールディングス / JGCグループ / 日揮グループ / 日揮エンジニアリング / JGCエンジニアリング / 日揮プロジェクト / 日揮HD,3,建設・資材,(日揮ホールディングス OR 日揮 OR JGC OR JGCホールディングス OR JGCグループ OR 日揮グループ OR 日揮エンジニアリング OR JGCエンジニアリング OR 日揮プロジェクト OR 日揮HD)
19640,１９６４０,中外炉工業,中外炉工業 / 中外炉 / チュウガイロ / 中外炉エンジニアリング / 中外炉技術 / 中外炉製品 / 中外炉ブランド / 中外炉ソリューション / 中外炉サービス,3,建設・資材,(中外炉工業 OR 中外炉 OR チュウガイロ OR 中外炉エンジニアリング OR 中外炉技術 OR 中外炉製品 OR 中外炉ブランド OR 中外炉ソリューション OR 中外炉サービス)
19680,１９６８０,太平電業,,3,建設・資材,
19690,１９６９０,高砂熱学工業,高砂熱学工業 / 高砂熱学 / TAKASAGO / 高砂エンジニアリング / 高砂技術 / 高砂製品 / 高砂ブランド / 高砂システム,3,建設・資材,(高砂熱学工業 OR 高砂熱学 OR TAKASAGO OR 高砂エンジニアリング OR 高砂技術 OR 高砂製品 OR 高砂ブランド OR 高砂システム)
19730,１９７３０,ＮＥＣネッツエスアイ,ＮＥＣネッツエスアイ / ネッツエスアイ / NEC Nets SI / NECネッツ / ネッツSI / NEC NSI / NECネットワーク / ネットワークソリューション / NECコミュニケーション,,,(ＮＥＣネッツエスアイ OR ネッツエスアイ OR NEC OR Nets OR SI OR NECネッツ OR ネッツSI OR NSI OR NECネットワーク OR ネットワークソリューション OR NECコミュニケーション)
19750,１９７５０,朝日工業社,,3,建設・資材,
19760,１９７６０,明星工業,明星,3,建設・資材,(明星)
19790,１９７９０,大氣社,大氣社 / ダイキ / 空調設備 / クリーンルーム / HVAC / エアコン / 産業設備,3,建設・資材,(大氣社 OR ダイキ OR 空調設備 OR クリーンルーム OR HVAC OR エアコン OR 産業設備)
19800,１９８００,ダイダン,ダイダン / ダイダン株式会社 / Daidan / ダイダン工業 / ダイダン設備 / ダイダンテクノロジー / ダイダンエンジニアリング / ダイダンソリューション / ダイダンプロジェクト,3,建設・資材,(ダイダン OR ダイダン株式会社 OR Daidan OR ダイダン工業 OR ダイダン設備 OR ダイダンテクノロジー OR ダイダンエンジニアリング OR ダイダンソリューション OR ダイダンプロジェクト)
19820,１９８２０,日比谷総合設備,日比谷総合設備 / 日比谷設備 / Hibiya Engineering / Hibiya / Hibiya SE / 日比谷 / Hibiya総合 / Hibiya設備 / Hibiyaエンジニアリング,3,建設・資材,(日比谷総合設備 OR 日比谷設備 OR Hibiya OR Engineering OR SE OR 日比谷 OR Hibiya総合 OR Hibiya設備 OR Hibiyaエンジニアリング)
20010,２００１０,ニップン,ニップン / 日本製粉 / オーマイ / REGALO / アマニ / ニップンアマニ / ニップンウェルナ / ニップンフーズ / ニップンプレミアム,1,食品,(ニップン OR 日本製粉 OR オーマイ OR REGALO OR アマニ OR ニップンアマニ OR ニップンウェルナ OR ニップンフーズ OR ニップンプレミアム)
20020,２００２０,日清製粉グループ本社,日清製粉グループ本社 / 日清製粉 / 日清フーズ / マ・マー / オーマイ / 日清ファルマ / 日清製粉ウェルナ / 日清ペットフード / 日清製粉プレミックス,1,食品,(日清製粉グループ本社 OR 日清製粉 OR 日清フーズ OR マー OR オーマイ OR 日清ファルマ OR 日清製粉ウェルナ OR 日清ペットフード OR 日清製粉プレミックス)
20030,２００３０,日東富士製粉,日東富士製粉 / 日東富士 / ニットーフーズ / ニットーミックス / ニットー / 富士製粉 / ニットー製粉 / 日東製粉 / ニットー富士,1,食品,(日東富士製粉 OR 日東富士 OR ニットーフーズ OR ニットーミックス OR ニットー OR 富士製粉 OR ニットー製粉 OR 日東製粉 OR ニットー富士)
20040,２００４０,昭和産業,昭和産業 / SHOWA / 昭和天ぷら粉 / 昭和の小麦粉 / 昭和の油 / 昭和のパスタ / 昭和のパン粉 / 昭和のホットケーキミックス / 昭和の調味料 / 昭和,1,食品,(昭和産業 OR SHOWA OR 昭和天ぷら粉 OR 昭和の小麦粉 OR 昭和の油 OR 昭和のパスタ OR 昭和のパン粉 OR 昭和のホットケーキミックス OR 昭和の調味料 OR 昭和)
20530,２０５３０,中部飼料,中部飼料 / 中飼 / フィードワングループ / フィードワンホールディングス / フィードワンペット / フィードワンアクア / フィードワンバイオ,1,食品,(中部飼料 OR 中飼 OR フィードワングループ OR フィードワンホールディングス OR フィードワンペット OR フィードワンアクア OR フィードワンバイオ)
20600,２０６００,フィード・ワン,フィード・ワン / フィード・ワンホールディングス / アニマルフィード / アクアフィード / ペットフード / 飼料 / フィードワンフーズ,1,食品,(フィード OR ワン OR ワンホールディングス OR アニマルフィード OR アクアフィード OR ペットフード OR 飼料 OR フィードワンフーズ)
21080,２１０８０,日本甜菜製糖,日本甜菜製糖 / ビート糖 / スズラン印 / 北海道ビート / てんさい糖 / スズランブランド / ビートシュガー / 甜菜糖 / 北海道産糖,1,食品,(日本甜菜製糖 OR ビート糖 OR スズラン印 OR 北海道ビート OR てんさい糖 OR スズランブランド OR ビートシュガー OR 甜菜糖 OR 北海道産糖)
