trade_id,signal_date,buy_date,sell_date,ticker,quantity,buy_price,sell_price,trade_type,strategy,result,pl,score,technicals,fundamentals,gpt_summary,gpt_decision,news_url,reason,take_profit,stop_loss,logged_at,previous_run_result,previous_run_pl,result,pl
12,2025/03/28,,,40040,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,100,"{""rsi_14"": 20.1759887633703, ""ma5"": 3330.4, ""ma25"": NaN, ""volume"": 3596100.0, ""volume_spike"": 3.6088210943576104}","{""eps"": 406.61, ""eps_yoy"": 4.885427615395564, ""profit"": 73503000000.0, ""profit_yoy"": 4.877763123186495, ""revenue"": 1391480000000.0, ""revenue_yoy"": 0.07961321127282912, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,slightly_bad_news,3330.4,,2025/06/08 0:08,SL,-9207,SL,-9207
13,2025/03/28,2025/03/31,2025/04/02,80430,100,935,960,BOUGHT,mean_reversion,TIMEOUT,2500,100,"{""rsi_14"": 2.966462090578588, ""ma5"": 2484.6, ""ma25"": NaN, ""volume"": 332000.0, ""volume_spike"": 1.9504171072729408}","{""eps"": 208.87, ""eps_yoy"": -0.45976773658382, ""profit"": 12197000000.0, ""profit_yoy"": 0.6236687965921193, ""revenue"": 436112000000.0, ""revenue_yoy"": 0.062304218408219536, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,2484.6,906.95,2025/06/08 0:08,TIMEOUT,2500,TIMEOUT,2500
14,2025/03/28,,,65390,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,87.9,"{""rsi_14"": 17.499047746274343, ""ma5"": 1001.4, ""ma25"": NaN, ""volume"": 236200.0, ""volume_spike"": 2.1879486823213377}","{""eps"": 41.53, ""eps_yoy"": -0.0852422907301228, ""profit"": 1032000000.0, ""profit_yoy"": -0.08994708994708994, ""revenue"": 7474000000.0, ""revenue_yoy"": 0.6340183646698732, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,1001.4,,2025/06/08 0:08,TIMEOUT,-800,TIMEOUT,-800
15,2025/03/31,,,40040,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,100,"{""rsi_14"": 14.805182764957209, ""ma5"": 3234.6, ""ma25"": NaN, ""volume"": 3388100.0, ""volume_spike"": 3.008275176247048}","{""eps"": 406.61, ""eps_yoy"": 4.885427615395564, ""profit"": 73503000000.0, ""profit_yoy"": 4.877763123186495, ""revenue"": 1391480000000.0, ""revenue_yoy"": 0.07961321127282912, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,slightly_bad_news,3234.6,,2025/06/08 0:08,SL,-9210,SL,-9210
16,2025/03/31,,,97420,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 29.730218162157158, ""ma5"": 1770.2, ""ma25"": NaN, ""volume"": 61300.0, ""volume_spike"": 2.4417446723760206}","{""eps"": 117.13, ""eps_yoy"": 0.3567705316394335, ""profit"": 2436000000.0, ""profit_yoy"": 0.3571030640668524, ""revenue"": 40563000000.0, ""revenue_yoy"": 0.00014793993638582736, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,1770.2,,2025/06/08 0:08,SL,-5043,SL,-5043
17,2025/03/31,,,99600,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,100,"{""rsi_14"": 29.984959292312993, ""ma5"": 2589.2, ""ma25"": NaN, ""volume"": 124500.0, ""volume_spike"": 1.6025228472132835}","{""eps"": 272.06, ""eps_yoy"": 0.5969711199461744, ""profit"": 11194000000.0, ""profit_yoy"": 0.5982295830953741, ""revenue"": 155958000000.0, ""revenue_yoy"": 0.10819145610095784, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,misinterpreted_news,2589.2,,2025/06/08 0:08,SL,-7440,SL,-7440
18,2025/03/31,,,65250,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,84.4,"{""rsi_14"": 20.323135690165287, ""ma5"": 2676.3, ""ma25"": NaN, ""volume"": 3232800.0, ""volume_spike"": 0.8645549325870191}","{""eps"": 154.6, ""eps_yoy"": 0.5967775252430514, ""profit"": 36004000000.0, ""profit_yoy"": 0.6091892375078216, ""revenue"": 238933000000.0, ""revenue_yoy"": 0.3212543823753857, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,2676.3,,2025/06/08 0:08,SL,-7200,SL,-7200
19,2025/03/31,,,93320,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,63.8,"{""rsi_14"": 24.050582623888857, ""ma5"": 791.6, ""ma25"": NaN, ""volume"": 88000.0, ""volume_spike"": 0.6225460719465177}","{""eps"": 58.92, ""eps_yoy"": 0.018496110627744842, ""profit"": 1935000000.0, ""profit_yoy"": -0.008709016393442622, ""revenue"": 101560000000.0, ""revenue_yoy"": 0.04854529310950051, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,misinterpreted_news,791.6,,2025/06/08 0:08,SL,-2295,SL,-2295
20,2025/04/01,,,31820,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 24.51609058585764, ""ma5"": 1349.4, ""ma25"": NaN, ""volume"": 1053400.0, ""volume_spike"": 5.376684360963659}","{""eps"": 103.13, ""eps_yoy"": -0.08231001956911284, ""profit"": 3638000000.0, ""profit_yoy"": -0.11441090555014606, ""revenue"": 256009000000.0, ""revenue_yoy"": 0.7250350385423966, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,1349.4,,2025/06/08 0:09,SL,-3600,SL,-3600
21,2025/04/01,,,262A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,67.2,"{""rsi_14"": 28.428822228670498, ""ma5"": 1693.0, ""ma25"": NaN, ""volume"": 706700.0, ""volume_spike"": 1.7134821244559748}","{""error"": ""Not enough FY data""}",,,,slightly_bad_news,1693,,2025/06/08 0:09,SL,-4785,SL,-4785
22,2025/04/01,,,285A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,59.7,"{""rsi_14"": 29.483617600898583, ""ma5"": 2481.2, ""ma25"": NaN, ""volume"": 7514500.0, ""volume_spike"": 0.6172289381764866}","{""error"": ""Not enough FY data""}",,,,no_news,2481.2,,2025/06/08 0:09,SL,-6990,SL,-6990
23,2025/04/03,,,40040,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,100,"{""rsi_14"": 19.36229207310339, ""ma5"": 3002.8, ""ma25"": 3389.84, ""volume"": 2009100.0, ""volume_spike"": 1.5052538912510067}","{""eps"": 406.61, ""eps_yoy"": 4.885427615395564, ""profit"": 73503000000.0, ""profit_yoy"": 4.877763123186495, ""revenue"": 1391480000000.0, ""revenue_yoy"": 0.07961321127282912, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,slightly_bad_news,3002.8,,2025/06/08 0:09,SL,-8130,SL,-8130
24,2025/04/03,,,93690,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 20.47710138046365, ""ma5"": 1748.6, ""ma25"": 1861.44, ""volume"": 113800.0, ""volume_spike"": 1.3488206708545691}","{""eps"": 107.04, ""eps_yoy"": 2.993296088828064, ""profit"": 2660000000.0, ""profit_yoy"": 2.9940029985007497, ""revenue"": 195192000000.0, ""revenue_yoy"": 0.05728074879344806, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,no_news,1748.6,,2025/06/08 0:09,SL,-4866,SL,-4866
25,2025/04/03,,,86240,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,93.2,"{""rsi_14"": 19.653644559779295, ""ma5"": 746.2, ""ma25"": 766.84, ""volume"": 241400.0, ""volume_spike"": 2.5614090933206004}","{""eps"": 47.11, ""eps_yoy"": -0.17510068286200303, ""profit"": 1564000000.0, ""profit_yoy"": -0.18921721099015035, ""revenue"": 18804000000.0, ""revenue_yoy"": -0.0017518713170887085, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,746.2,,2025/06/08 0:09,SL,-2067,SL,-2067
26,2025/04/03,,,35930,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,72.7,"{""rsi_14"": 14.002586539882813, ""ma5"": 4739.0, ""ma25"": 4832.0, ""volume"": 100300.0, ""volume_spike"": 1.8322981366459627}","{""eps"": 67.98, ""eps_yoy"": -0.41178506529274156, ""profit"": 1520000000.0, ""profit_yoy"": -0.4579172610556348, ""revenue"": 39138000000.0, ""revenue_yoy"": 0.0009718670076726343, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,no_news,4739,,2025/06/08 0:09,SL,-13200,SL,-13200
27,2025/04/03,,,285A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,72.2,"{""rsi_14"": 25.65583890199592, ""ma5"": 2317.6, ""ma25"": 2655.6, ""volume"": 12457000.0, ""volume_spike"": 1.0863882279016974}","{""error"": ""Not enough FY data""}",,,,no_news,2317.6,,2025/06/08 0:09,SL,-5988,SL,-5988
28,2025/04/04,,,40040,0,,,SKIPPED,mean_reversion,SKIPPED_REASON,0,100,"{""rsi_14"": 13.168007569950959, ""ma5"": 2901.2, ""ma25"": 3351.44, ""volume"": 4083100.0, ""volume_spike"": 2.9044775376210614}","{""eps"": 406.61, ""eps_yoy"": 4.885427615395564, ""profit"": 73503000000.0, ""profit_yoy"": 4.877763123186495, ""revenue"": 1391480000000.0, ""revenue_yoy"": 0.07961321127282912, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,slightly_bad_news,2901.2,,2025/06/08 0:11,SL,-7180.5,SL,-7180.5
29,2025/04/04,,,49680,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 13.547636291753733, ""ma5"": 1063.2, ""ma25"": 1158.24, ""volume"": 64300.0, ""volume_spike"": 3.1831683168316833}","{""eps"": 133.31, ""eps_yoy"": 3.5363394209405747, ""profit"": 2644000000.0, ""profit_yoy"": 3.5374280230326294, ""revenue"": 80236000000.0, ""revenue_yoy"": 0.11096341834897953, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,no_news,1063.2,,2025/06/08 0:11,TIMEOUT,800,TIMEOUT,800
30,2025/04/04,2025/04/07,2025/04/09,71980,100,688,704,BOUGHT,mean_reversion,TIMEOUT,1600,100,"{""rsi_14"": 11.851000313275094, ""ma5"": 821.6, ""ma25"": 850.76, ""volume"": 452000.0, ""volume_spike"": 6.13630192777627}","{""eps"": 42.98, ""eps_yoy"": 0.09003296979710036, ""profit"": 1904000000.0, ""profit_yoy"": 0.25510876730388926, ""revenue"": 22292000000.0, ""revenue_yoy"": 0.09247733398676795, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,821.6,667.36,2025/06/08 0:11,TIMEOUT,1600,TIMEOUT,1600
31,2025/04/04,2025/04/07,2025/04/09,33330,100,1247,1252,BOUGHT,mean_reversion,TIMEOUT,500,100,"{""rsi_14"": 17.800112498168616, ""ma5"": 1423.4, ""ma25"": 1447.88, ""volume"": 181200.0, ""volume_spike"": 2.965630114566285}","{""eps"": 136.51, ""eps_yoy"": 0.14512205350682642, ""profit"": 3555000000.0, ""profit_yoy"": 0.14198522325730806, ""revenue"": 81593000000.0, ""revenue_yoy"": 0.04504585275885035, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,1423.4,1209.59,2025/06/08 0:11,TIMEOUT,9600,TIMEOUT,9600
32,2025/04/04,2025/04/07,2025/04/09,70880,100,833,929,BOUGHT,mean_reversion,TIMEOUT,9600,100,"{""rsi_14"": 16.919705985542905, ""ma5"": 1006.4, ""ma25"": 1059.36, ""volume"": 253600.0, ""volume_spike"": 2.459032289343547}","{""eps"": 55.08, ""eps_yoy"": 0.398324447728275, ""profit"": 2884000000.0, ""profit_yoy"": 0.41441883276115743, ""revenue"": 34688000000.0, ""revenue_yoy"": 0.10898686019374021, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,1006.4,808.01,2025/06/08 0:11,TIMEOUT,15200,TIMEOUT,15200
33,2025/04/07,,,40040,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 8.658202829542631, ""ma5"": 2758.0, ""ma25"": 3302.84, ""volume"": 3543700.0, ""volume_spike"": 2.305752832822021}","{""eps"": 406.61, ""eps_yoy"": 4.885427615395564, ""profit"": 73503000000.0, ""profit_yoy"": 4.877763123186495, ""revenue"": 1391480000000.0, ""revenue_yoy"": 0.07961321127282912, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,no_news,2758,,2025/06/08 0:12,SL,-7129.5,SL,-7129.5
34,2025/04/07,,,93690,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 10.722962186404828, ""ma5"": 1642.8, ""ma25"": 1834.96, ""volume"": 109200.0, ""volume_spike"": 1.2188860363879896}","{""eps"": 107.04, ""eps_yoy"": 2.993296088828064, ""profit"": 2660000000.0, ""profit_yoy"": 2.9940029985007497, ""revenue"": 195192000000.0, ""revenue_yoy"": 0.05728074879344806, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,no_news,1642.8,,2025/06/08 0:12,TP,11280,TP,11280
35,2025/04/07,,,65250,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 9.294029670968882, ""ma5"": 2211.6, ""ma25"": 2748.78, ""volume"": 5439400.0, ""volume_spike"": 1.7359140883052226}","{""eps"": 154.6, ""eps_yoy"": 0.5967775252430514, ""profit"": 36004000000.0, ""profit_yoy"": 0.6091892375078216, ""revenue"": 238933000000.0, ""revenue_yoy"": 0.3212543823753857, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,2211.6,,2025/06/08 0:12,SL,-5770.5,SL,-5770.5
36,2025/04/07,,,268A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,100,"{""rsi_14"": 3.3072728491439847, ""ma5"": 830.2, ""ma25"": 999.96, ""volume"": 2458600.0, ""volume_spike"": 2.5234138856529973}","{""error"": ""Not enough FY data""}",,,,no_news,830.2,,2025/06/08 0:12,SL,-2217,SL,-2217
37,2025/04/07,,,262A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,94,"{""rsi_14"": 16.086985022485933, ""ma5"": 1509.8, ""ma25"": 1662.16, ""volume"": 907800.0, ""volume_spike"": 2.2165250512745387}","{""error"": ""Not enough FY data""}",,,,no_news,1509.8,,2025/06/08 0:12,SL,-4320,SL,-4320
38,2025/04/09,2025/04/10,,40440,0,2928,,SKIPPED,mean_reversion,SKIPPED_GAP_AT_OPEN_TP,0,100,"{""rsi_14"": 23.76040436669419, ""ma5"": 2850.2, ""ma25"": 3249.64, ""volume"": 354700.0, ""volume_spike"": 3.821374703727645}","{""eps"": 229.14, ""eps_yoy"": -0.5449508489614745, ""profit"": 5678000000.0, ""profit_yoy"": -0.5449591280653951, ""revenue"": 144233000000.0, ""revenue_yoy"": -0.10044967225690568, ""eps_negative_years"": 1, ""profit_down_years"": 1}",,,,no_news,2850.2,2840.16,2025/06/08 0:13,SKIPPED_GAP_AT_OPEN_TP,0,SKIPPED_GAP_AT_OPEN_TP,0
39,2025/04/09,2025/04/10,,62090,0,2229,,SKIPPED,mean_reversion,SKIPPED_INVALID_SL_GT_TP,0,100,"{""rsi_14"": 21.361111795681808, ""ma5"": 2109.0, ""ma25"": 2513.44, ""volume"": 410500.0, ""volume_spike"": 3.7900470870649063}","{""eps"": 323.32, ""eps_yoy"": -0.703889585940856, ""profit"": 8756000000.0, ""profit_yoy"": -0.6673757787570278, ""revenue"": 170340000000.0, ""revenue_yoy"": 0.22912848339659128, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,no_news,2109,2162.13,2025/06/08 0:13,SKIPPED_INVALID_SL_GT_TP,0,SKIPPED_INVALID_SL_GT_TP,0
40,2025/04/09,2025/04/10,,62780,0,3530,,SKIPPED,mean_reversion,SKIPPED_INVALID_SL_GT_TP,0,95.7,"{""rsi_14"": 22.588413855832997, ""ma5"": 3406.0, ""ma25"": 4083.4, ""volume"": 79200.0, ""volume_spike"": 1.3026315789473684}","{""eps"": 305.86, ""eps_yoy"": 0.7166750855521877, ""profit"": 5283000000.0, ""profit_yoy"": 0.7169320766980826, ""revenue"": 32606000000.0, ""revenue_yoy"": 0.286841897545189, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,3406,3424.1,2025/06/08 0:13,SKIPPED_INVALID_SL_GT_TP,0,SKIPPED_INVALID_SL_GT_TP,0
41,2025/04/09,,,45230,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,87.7,"{""rsi_14"": 14.631363715636027, ""ma5"": 3752.2, ""ma25"": 4160.2, ""volume"": 2724400.0, ""volume_spike"": 1.8338594920605005}","{""eps"": 163.76, ""eps_yoy"": 0.1075341539221198, ""profit"": 46432000000.0, ""profit_yoy"": 0.09493939536857991, ""revenue"": 789400000000.0, ""revenue_yoy"": 0.06423853826958104, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,3752.2,,2025/06/08 0:13,SL,-11136,SL,-11136
42,2025/04/09,,,268A0,0,,,SKIPPED,mean_reversion,SKIPPED_NOT_ENOUGH_FY,0,87.4,"{""rsi_14"": 16.92896588354982, ""ma5"": 733.4, ""ma25"": 968.84, ""volume"": 2076400.0, ""volume_spike"": 1.94343048613841}","{""error"": ""Not enough FY data""}",,,,no_news,733.4,,2025/06/08 0:13,SKIPPED_GAP_AT_OPEN_TP,0,SKIPPED_GAP_AT_OPEN_TP,0
43,2025/04/11,2025/04/14,2025/04/15,44520,100,5819,6088,BOUGHT,mean_reversion,TP,26900,100,"{""rsi_14"": 24.21965182108201, ""ma5"": 6088.0, ""ma25"": 6408.08, ""volume"": 4626800.0, ""volume_spike"": 2.833807492428256}","{""eps"": 231.94, ""eps_yoy"": 1.4577725970692197, ""profit"": 107767000000.0, ""profit_yoy"": 1.456507864144062, ""revenue"": 1628448000000.0, ""revenue_yoy"": 0.06255403473491415, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,6088,5644.43,2025/06/08 0:14,TP,26900,TP,26900
44,2025/04/11,,,45780,0,,,SKIPPED,mean_reversion,SKIPPED_NO_GREEN_CANDLE,0,100,"{""rsi_14"": 27.37486564244898, ""ma5"": 7060.8, ""ma25"": 7639.2, ""volume"": 2116300.0, ""volume_spike"": 1.577156825117655}","{""eps"": 633.76, ""eps_yoy"": 1.8280232038452464, ""profit"": 343120000000.0, ""profit_yoy"": 1.8213392974608604, ""revenue"": 2329861000000.0, ""revenue_yoy"": 0.15421477007462717, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,7060.8,,2025/06/08 0:14,TIMEOUT,-2800,TIMEOUT,-2800
45,2025/04/11,,,45230,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,79.2,"{""rsi_14"": 29.12790607521555, ""ma5"": 3636.0, ""ma25"": 4108.08, ""volume"": 2412400.0, ""volume_spike"": 1.465880780215106}","{""eps"": 163.76, ""eps_yoy"": 0.1075341539221198, ""profit"": 46432000000.0, ""profit_yoy"": 0.09493939536857991, ""revenue"": 789400000000.0, ""revenue_yoy"": 0.06423853826958104, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,3636,,2025/06/08 0:14,TP,1700,TP,1700
46,2025/04/11,,,45020,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,77.1,"{""rsi_14"": 24.69950895040016, ""ma5"": 4093.0, ""ma25"": 4412.8, ""volume"": 11992500.0, ""volume_spike"": 1.9050001787054576}","{""eps"": 68.36, ""eps_yoy"": -0.2576827016768724, ""profit"": 107928000000.0, ""profit_yoy"": -0.2508485635155865, ""revenue"": 4581551000000.0, ""revenue_yoy"": 0.07453253722886033, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,4093,,2025/06/08 0:14,TP,9200,TP,9200
47,2025/04/11,,,35930,0,,,SKIPPED,mean_reversion,SKIPPED_LOW_SCORE,0,65.8,"{""rsi_14"": 23.89113983951721, ""ma5"": 4208.0, ""ma25"": 4672.6, ""volume"": 102200.0, ""volume_spike"": 1.5678453631970546}","{""eps"": 67.98, ""eps_yoy"": -0.41178506529274156, ""profit"": 1520000000.0, ""profit_yoy"": -0.4579172610556348, ""revenue"": 39138000000.0, ""revenue_yoy"": 0.0009718670076726343, ""eps_negative_years"": 0, ""profit_down_years"": 0}",,,,no_news,4208,,2025/06/08 0:14,SL,-12450,SL,-12450
48,2025/04/28,2025/04/30,2025/04/30,22940,100,2830,2745.1,BOUGHT,mean_reversion,SL,-8490,100,"{""rsi_14"": 27.693707228663555, ""ma5"": 3004.2, ""ma25"": 3011.28, ""volume"": 261900.0, ""volume_spike"": 4.08071050171393}","{""eps"": 133.74, ""eps_yoy"": -0.36495726493993547, ""profit"": 1400000000.0, ""profit_yoy"": -0.36507936507936506, ""revenue"": 37052000000.0, ""revenue_yoy"": -0.15618310179913458, ""eps_negative_years"": 0, ""profit_down_years"": 1}",,,,no_news,3004.2,2745.1,2025/06/08 0:15,SL,-8490,SL,-8490
